dlc_id,name,dob,sex,taxon,litter_size,age,weight
1512,HEME,1972-03-08,F,ERUF,1,2.27,410
1589,TANGO,1975-03-10,F,ERUF,1,0.72,137
1591,AMBER,1974-12-18,F,PCOQ,1,0.69,206
1592,LARKE,1976-01-26,M,PCOQ,1,1.05,185
1593,ERME,1977-02-06,F,PCOQ,1,2.66,373
2506,MELPOMENE,1975-03-25,F,ERUF,1,0.76,200
2534,NYMPH,1976-03-04,F,ERUF,1,9.01,1861
2535,ROAN,1976-03-04,M,ERUF,1,8.02,1634
2538,ALCOBA,1976-03-19,F,ERUF,1,2.76,636
2539,TISA,1976-03-25,F,ERUF,1,1.74,373
2557,VULCAN,1976-04-24,M,ERUF,1,1.81,425
2586,LYMPH,1977-03-17,F,ERUF,1,2.56,620
2589,HELEN,1977-03-16,F,ERUF,1,6.02,1202
3508,MACHO,1977-04-18,M,ERUF,1,3.81,1205
3533,RUST,1977-08-17,M,ERUF,1,1.61,530
3556,MENELAUS,1978-04-03,M,ERUF,1,1.15,313
3562,GLOBIN,1978-04-15,F,ERUF,1,7.13,1498
3569,JUPITER,1978-04-21,M,VRUB,3,8.28,3042
3570,TERRA,1978-04-21,F,VRUB,3,6.31,2653
3571,HADES,1978-04-21,M,VRUB,3,0.72,324
3585,RUFF,1978-05-06,M,ERUF,1,1.68,531
4547,AUBURN,1979-04-09,F,ERUF,1,5.39,1317
4575,VENUS II,1979-05-01,F,VRUB,1,4.9,2605
5504,BURGUNDY,1980-02-17,M,ERUF,1,0.82,163
5508,RED,1980-03-12,M,ERUF,1,0.76,268
5538,NEPTUNE,1980-05-04,M,VRUB,2,1.91,965
5539,DIANA,1980-05-04,F,VRUB,2,19.89,3225
5580,FLAME,1981-03-21,F,ERUF,1,12,1875
5587,CYNTHIA,1981-03-30,F,VRUB,2,8.55,2700
5629,PHOENIX,1981-05-19,M,VRUB,3,10.26,2706
5630,HIMALIA,1981-05-19,F,VRUB,3,10.26,2693
5631,LYSITHEA,1981-05-19,F,VRUB,3,1.64,704
5654,REDHEAD,1982-03-15,M,ERUF,1,3.75,908
5657,VERMILLION,1982-03-17,M,ERUF,1,2.04,441
5659,MAGENTA,1982-03-17,F,ERUF,1,20.65,2515
5689,VENERIUS,1982-05-02,M,VRUB,3,15.95,2847
5691,VENUTIA,1982-05-02,F,VRUB,3,17.06,2791
5698,HERMES,1982-05-08,M,VRUB,3,23.9,3823
5699,PLUTONIA,1982-05-08,F,VRUB,3,15.52,3618
5746,GINGY,1983-03-27,F,ERUF,2,3.98,676
5747,CHERRY,1983-03-27,F,ERUF,2,3.98,713
5768,CASTOR,1983-04-16,M,VRUB,2,4.24,2310
5769,POLLUX,1983-04-16,M,VRUB,2,4.24,2383
5781,REDNECK,1983-04-22,M,ERUF,1,6.12,1317
5783,RED LAKE,1983-04-24,F,ERUF,1,22.16,2230
5784,ARCTURUS,1983-04-26,M,VRUB,1,12.3,2574
5790,JOVE,1983-04-27,M,VRUB,1,10.26,2501.5
5791,GEOS,1983-04-27,M,VRUB,2,7.3,2787
5792,GE,1983-04-27,F,VRUB,2,7.3,2433
5863,RED HOT,1984-03-29,F,ERUF,1,20.61,1775.5
587,HEBE,1971-04-13,F,ERUF,1,11.54,1580
5874,SATURNILLA,1984-04-06,F,VRUB,1,11.97,2076
5888,NERIED,1984-04-22,F,VRUB,3,1.48,406
5889,NEPTUNIA,1984-04-22,F,VRUB,3,13.25,3087
5899,CETUS,1984-04-29,M,VRUB,2,11.67,2219
5900,CARME,1984-04-29,F,VRUB,2,11.67,2679
5930,ALPHA CENTAURI,1984-05-14,M,VRUB,3,11.05,2684
5931,OMEGA,1984-05-14,F,VRUB,3,11.05,2447
5932,ALPHECCA,1984-05-14,F,VRUB,3,11.05,2684
5963,BLAZE,1985-03-09,F,ERUF,1,12.82,1698
599,MANGO,1974-02-21,F,PCOQ,1,4.64,925
6001,CHARON,1985-04-27,M,VRUB,2,18.71,3147
6002,JANUS,1985-04-27,M,VRUB,2,11.21,2288
6008,IZAR,1985-05-03,F,VRUB,3,6.21,2711
6009,ARA,1985-05-03,F,VRUB,3,6.21,2515
6010,ANCHA,1985-05-03,F,VRUB,3,17.88,3655
6014,ALGOL,1985-05-05,M,VRUB,3,3.02,677
6015,MENKIB,1985-05-05,M,VRUB,3,3.02,1040
6016,COLUMBA,1985-05-05,F,VRUB,3,7.13,2497
6066,CEPHEUS,1986-03-30,M,VRUB,4,6.41,2633
6067,KOCHAB,1986-03-30,M,VRUB,4,6.41,2965
6068,LACERTA,1986-03-30,F,VRUB,4,20.22,3532
6069,COMA,1986-03-30,F,VRUB,4,6.41,2565
6113,ANNATO,1986-06-23,F,ERUF,1,14.1,1652
6117,SABINA,1986-07-07,F,PCOQ,1,22.59,6969
6133,CLAUDIUS,1986-12-05,M,PCOQ,1,3.22,312
6137,FLASH,1987-03-18,M,ERUF,1,5.29,1312
6160,LYNX,1987-04-15,M,VRUB,3,7.79,2501.5
6161,PASIPHAE,1987-04-15,F,VRUB,3,3.95,1716
6162,MIAPLACIDUS,1987-04-15,F,VRUB,3,3.95,1462
6169,CRATER,1987-04-20,M,VRUB,3,16.83,2720
6170,SCULPTOR,1987-04-20,M,VRUB,3,3.78,1548
6171,MIMOSA II,1987-04-20,F,VRUB,3,7.63,2292
6173,BERENICES,1987-04-27,F,VRUB,2,18.28,4031
6174,MUSCA,1987-04-27,F,VRUB,2,18.28,3596
6200,AURELIA,1987-12-08,F,PCOQ,1,7.79,1661
6207,Tiberius,1988-01-20,M,PCOQ,1,7.59,1843
6232,SINDHI,1988-04-21,F,ERUF,1,22.98,1761
6240,Borealis,1988-04-30,M,VRUB,3,1.58,593
6241,TROMDENUS,1988-04-30,M,VRUB,3,1.61,654
6242,CORONA,1988-04-30,F,VRUB,3,1.97,829
6245,JOVEN,1988-05-03,M,VRUB,2,17.26,2939
6282,APPLE,1989-03-16,F,ERUF,2,8.09,1701
6303,CERES,1989-04-18,F,VRUB,3,18.9,2820
6304,INDUS,1989-04-18,F,VRUB,3,18.9,3032
6309,SEXTANS,1989-04-22,M,VRUB,3,5.65,2311
6310,Alphard,1989-04-22,M,VRUB,3,17.62,3292
6311,Antlia,1989-04-22,F,VRUB,3,5.65,2320
6313,PEACOCK,1989-04-29,F,VRUB,1,17.79,3804
6333,CONSTANTINE,1989-12-28,M,PCOQ,1,17.29,2756
6334,FLAVIA-A,1990-01-17,M,PCOQ,1,2.01,182
6336,CLAUDIA,1990-02-20,F,PCOQ,1,15.52,3455
6350,REDBEARD,1990-03-19,M,ERUF,2,18.54,1589
6372,RASALHAGUE,1990-04-20,M,VRUB,3,20.61,2420
6376,EUNOMIA,1990-04-28,F,VRUB,3,18.35,3300
6377,NUNKI,1990-04-28,F,VRUB,3,0.56,245
6378,DIPHDA,1990-04-28,F,VRUB,3,5.42,1825
6379,HERCULES,1990-04-29,M,VRUB,3,19.23,2924
6380,ENIF,1990-04-29,F,VRUB,3,14.07,3310
6381,SABIK,1990-04-29,F,VRUB,3,5.39,2003
6398,PAULINA,1991-01-24,F,PCOQ,1,4.83,563
6399,MAXIMIAN,1991-03-09,M,PCOQ,1,3.09,563
6400,CARMINE,1991-03-11,M,ERUF,1,12.95,1382
6401,RADISH,1991-03-12,F,ERUF,1,16.41,1560
6422,DORADO,1991-04-14,M,VRUB,3,19.2,3042
6423,DENEBOLA,1991-04-14,F,VRUB,3,19.2,3178
6424,DEMBOWSKA,1991-04-14,F,VRUB,3,6.81,2606
6428,WOLF 359,1991-04-26,M,VRUB,2,8.42,2415
6437,ALUDRA,1991-05-20,F,VRUB,1,12.95,3010
6446,TOROS,1991-06-17,M,VRUB,2,7.43,2620
6447,PIAZZIA,1991-06-17,F,VRUB,2,19.63,3340
6450,VALENTINIAN,1991-11-02,M,PCOQ,1,1.94,218
6455,RED BARON,1992-03-01,M,ERUF,1,15.25,1720
6456,CRISPINA,1992-03-02,F,PCOQ,1,19.23,3400
6459,ROSELLA,1992-03-08,F,ERUF,1,22.16,2040
6492,MIRFAK,1992-05-08,M,VRUB,2,12.79,2800
6493,MURZIM,1992-05-08,F,VRUB,2,10.06,2510
6494,IRIS,1992-05-11,F,VRUB,3,5.56,1730
6495,JETHYS,1992-05-11,F,VRUB,3,1.25,340
6496,SAGITTARIUS,1992-05-11,M,VRUB,3,12.53,2310
6517,PULCHRA,1993-02-28,F,PCOQ,1,12.26,2950
6518,Julian,1993-03-04,M,PCOQ,1,9.11,2580
6526,RED OAK,1993-03-14,M,ERUF,1,15.98,1779
6538,Drusilla,1993-04-06,F,PCOQ,1,7.4,2170
6560,SEVERUS,1993-09-11,M,PCOQ,1,6.08,880
6566,CRANBERRY,1994-02-22,F,ERUF,1,17.95,2020
6581,REDWOOD,1994-04-07,F,ERUF,2,3.19,567
6582,STRAWBERRY,1994-04-07,F,ERUF,2,3.19,475
6583,Jovian,1994-04-10,M,PCOQ,1,5.16,820
6590,Minias,1994-04-26,M,VRUB,2,4.47,2930
6591,THETIS,1994-04-26,M,VRUB,2,17.1,3370
6592,CHAMAELEON,1994-05-02,M,VRUB,2,20.52,3340
6593,HYDRUS,1994-05-02,M,VRUB,2,9.3,3480
6608,OTHO,1994-09-12,M,PCOQ,1,5.16,850
6610,NERO,1994-12-04,M,PCOQ,1,1.08,184
6612,POINSETTA,1995-02-26,F,ERUF,1,7.04,1400
6615,Cardinal II,1995-03-15,M,ERUF,1,6.41,1190
6618,BEET,1995-03-19,F,ERUF,1,12.59,1590
6624,Redbay,1995-03-24,F,ERUF,1,17.62,1590
6625,FLAVIA-B,1995-03-25,M,PCOQ,1,0.56,150
6628,GALERIA,1995-04-06,F,PCOQ,1,1.94,390
6633,Pyxis II,1995-04-29,F,VRUB,1,11.64,2550
6650,Gordian,1995-12-17,M,PCOQ,1,8.88,1690
6653,DIOCLETIAN,1996-02-19,M,PCOQ,1,1.51,150
6663,RED WING,1996-03-22,M,ERUF,1,16.57,1780
6666,RED DEVIL,1996-03-26,F,ERUF,1,11.38,1520
6667,DOMITIAN,1996-03-26,M,PCOQ,1,3.98,500
6684,Hunter,1996-05-17,M,VRUB,3,22.06,4080
6685,UNICORN,1996-05-17,F,VRUB,3,11.05,2910
6690,FAUSTINA,1996-12-08,F,PCOQ,1,2.17,285
6692,ALEXIANUS,1996-12-17,F,PCOQ,1,6.25,1660
6696,Avita,1997-02-24,F,PCOQ,1,1.64,314
6723,LIVIA II,1998-01-31,F,PCOQ,1,16.01,3150
6724,Eugenius,1998-02-07,M,PCOQ,1,5.03,1100
6727,Antonia,1998-02-22,F,PCOQ,1,3.35,710
6741,CALIGULA,1998-12-19,M,PCOQ,1,1.91,384
6743,Pia,1999-02-15,F,PCOQ,1,0.72,198
6744,Rupillia,1999-02-16,F,PCOQ,1,2.63,370
6747,Phillip the Arab,1999-02-24,M,PCOQ,1,11.47,2540
6751,Rastoban,1999-05-17,M,VRUB,2,2.1,990
6752,Kornephoros,1999-05-17,M,VRUB,2,2.1,1000
6757,ZENO,2000-02-02,M,PCOQ,1,2.07,459
6758,EUDOXIA,2000-02-11,F,PCOQ,1,7.76,2240
6759,MARIUS,2000-02-18,M,PCOQ,1,3.19,712
6774,BRUTUS,2001-02-28,M,PCOQ,1,20.05,3480
6777,ZENOBIA,2001-03-11,F,PCOQ,1,2.89,487
6780,QUIETUS,2001-05-04,M,PCOQ,1,17.42,3350
6790,Leo,2001-12-26,M,PCOQ,1,4.34,1230
6797,Gratian,2002-04-14,M,PCOQ,1,6.08,1610
6802,Little Dipper,2002-05-26,F,VRUB,1,0.76,440
6804,Crispus Caesar,2003-01-07,M,PCOQ,1,4.37,1110
6806,Rufus,2003-02-12,M,PCOQ,1,2.24,294
6807,Theodosius,2003-03-03,M,PCOQ,1,2.53,537
6823,Maximus,2004-01-15,M,PCOQ,1,1.74,532
6825,Geta,2004-02-08,F,PCOQ,1,6.48,1640
6827,Marcus Aurelius,2004-02-16,M,PCOQ,1,7.86,2190
6828,Anastasia,2004-02-18,F,PCOQ,1,16.08,2400
6838,Carina,2004-05-11,F,VRUB,2,21.96,3740
6839,Cassiopea,2004-05-11,F,VRUB,2,0.72,330
6843,Lucius Verus,2005-01-07,M,PCOQ,1,0.79,179
6844,Maria,2005-01-17,F,PCOQ,1,0.69,143
6850,Honoria,2005-02-21,F,PCOQ,1,12.56,2490
6872,Helena,2006-02-13,F,PCOQ,1,2.76,482
6882,Charlemagne,2007-01-02,M,PCOQ,1,15.85,2860
6884,Irene,2007-01-27,F,PCOQ,1,16.11,3060
6885,Agrippina,2007-02-07,F,PCOQ,1,23.08,3320
6895,Scorpius,2007-07-02,M,VRUB,2,20.75,3520
6896,Aries,2007-07-02,M,VRUB,2,1.84,720
6900,Matilda,2007-12-21,F,PCOQ,1,1.15,216
6901,Gaius Galerus,2008-01-03,M,PCOQ,1,22.55,3395
6903,Martinianus,2008-01-25,M,PCOQ,1,2.2,538
6911,Avior,2008-05-24,M,VRUB,3,22.78,3180
6912,Hydra II,2008-05-24,F,VRUB,3,1.74,810
6913,Lyra,2008-05-24,F,VRUB,3,1.74,788
6920,Conrad,2008-12-31,M,PCOQ,1,19.07,3080
6922,Pompeia Plotina,2009-02-04,F,PCOQ,1,13.51,2975
6945,Esther,2009-04-29,F,VRUB,3,3.06,1260
6946,Phoebe,2009-04-29,F,VRUB,3,17.49,3620
6947,Orion JR,2009-04-29,M,VRUB,3,0.92,422
6959,Rupert,2009-12-15,M,PCOQ,1,17.49,2840
6961,Wilhelmina,2009-12-25,F,PCOQ,1,13.45,2895
6964,Romulus,2010-02-03,M,PCOQ,1,20.35,3515
6982,Adelaide,2011-01-08,F,PCOQ,1,3.75,860
6983,Arcadia,2011-01-16,F,PCOQ,1,6.51,1800
6987,Bertha of Sulzbach,2011-02-18,F,PCOQ,1,23.54,4180
6994,Cordelia,2011-05-10,F,VRUB,2,9.21,2540
6995,Pandora,2011-05-10,F,VRUB,2,12.2,2920
7073,Gisela,2012-01-07,F,PCOQ,1,23.64,3390
7075,Remus,2012-01-12,M,PCOQ,1,3.02,740
7077,Ernestine,2012-01-26,F,PCOQ,1,0.82,212
7093,Titan,2012-05-10,M,VRUB,4,5.29,2440
7094,Puck,2012-05-10,M,VRUB,4,1.55,680
7095,Carme II,2012-05-10,F,VRUB,4,8.84,2720
7131,Beatrice of Swabia,2012-12-19,F,PCOQ,1,23.47,3700
7133,Irene-A,2013-01-20,M,PCOQ,1,0.79,168
7136,Pontius Pilate,2013-02-04,M,PCOQ,1,11.54,2320
7137,Ferdinand,2013-02-17,M,PCOQ,1,2.01,415
7170,Gertrude,2014-01-05,F,PCOQ,1,7.5,1920
7171,Eleanor of Portugal,2014-01-05,F,PCOQ,1,8.35,2240
7174,Aemilia,2014-02-02,F,PCOQ,1,1.45,349
7199,Lupicina,2015-01-08,F,PCOQ,1,4.54,843
7200,Wenceslaus the Idle,2015-01-24,M,PCOQ,1,23.15,3880
7201,Isabella,2015-01-25,F,PCOQ,1,4.31,892
7202,Valeria,2015-01-28,F,PCOQ,1,13.87,2700
7211,Celeste,2015-05-13,F,VRUB,3,2.24,1040
7212,Arche,2015-05-13,M,VRUB,3,23.24,3880
7213,Stephano,2015-05-13,M,VRUB,3,3.16,1560
7215,Bode,2015-05-27,M,VRUB,1,14.47,3820
7228,Gemina,2015-12-28,F,PCOQ,1,5.13,741
7233,Calpurnia III,2016-01-17,F,PCOQ,1,16.41,2900
7234,Hostilian,2016-01-23,M,PCOQ,1,2.86,488
7235,Francesca,2016-02-14,F,PCOQ,1,17.1,2640
7250,Sally,2016-06-08,F,VRUB,2,2.79,1580
7251,Kalani,2016-06-08,M,VRUB,2,19.17,3365
7263,Gothicus,2017-01-06,M,PCOQ,1,2.3,350
7264,Furia,2017-01-10,F,PCOQ,1,17.52,2680
7275,Magdalena,2017-05-14,F,PCOQ,1,16.18,2820
7278,Buzz,2017-05-30,M,VRUB,1,1.12,617
7286,Eustace,2017-11-03,M,PCOQ,1,2.96,614
7288,Elagabalus,2017-12-23,M,PCOQ,1,0.56,131
7297,Mae,2018-05-14,F,VRUB,3,0.95,490
7298,Judith,2018-05-14,F,VRUB,3,4.73,2200
