institution_name,city,state,type,division,region,expenditure_m,enrollment_th
Gordon College,Wenham,MA,Private,Division III,Northeast,0.410732,1.203
Harvard University,Cambridge,MA,Private,Division I,Northeast,3.529648,7.233
College of the Holy Cross,Worcester,MA,Private,Division I,Northeast,4.641097,3.015
Lasell University,Newton,MA,Private,Division III,Northeast,0.330239,1.097
Lesley University,Cambridge,MA,Private,Division III,Northeast,0.060767,0.892
University of Massachusetts-Lowell,Lowell,MA,Public,Division I,Northeast,4.070858,9.437
University of Massachusetts-Amherst,Amherst,MA,Public,Division I,Northeast,8.58109,22.475
University of Massachusetts-Boston,Boston,MA,Public,Division III,Northeast,0.341396,9.96
Massachusetts Institute of Technology,Cambridge,MA,Private,Division III,Northeast,0.324357,4.538
Merrimack College,North Andover,MA,Private,Division I,Northeast,3.853145,3.96
Nichols College,Dudley,MA,Private,Division III,Northeast,0.325295,1.058
Massachusetts College of Liberal Arts,North Adams,MA,Public,Division III,Northeast,0.13,0.675
Northeastern University,Boston,MA,Private,Division I,Northeast,6.552308,15.719
College of Our Lady of the Elms,Chicopee,MA,Private,Division III,Northeast,0.185849,0.858
Regis College,Weston,MA,Private,Division III,Northeast,0.177821,0.866
Salem State University,Salem,MA,Public,Division III,Northeast,0.086232,3.719
Springfield College,Springfield,MA,Private,Division III,Northeast,0.449303,1.904
University of Massachusetts-Dartmouth,North Dartmouth,MA,Public,Division III,Northeast,0.278053,4.699
Stonehill College,Easton,MA,Private,Division I,Northeast,3.495509,2.447
Suffolk University,Boston,MA,Private,Division III,Northeast,0.291361,4.328
Tufts University,Medford,MA,Private,Division III,Northeast,0.643657,6.662
Wentworth Institute of Technology,Boston,MA,Private,Division III,Northeast,0.308645,3.464
Western New England University,Springfield,MA,Private,Division III,Northeast,0.513046,2.433
Westfield State University,Westfield,MA,Public,Division III,Northeast,0.255212,3.084
Wheaton College (Massachusetts),Norton,MA,Private,Division III,Northeast,0.369225,1.74
Williams College,Williamstown,MA,Private,Division III,Northeast,0.571507,2.06
Worcester Polytechnic Institute,Worcester,MA,Private,Division III,Northeast,0.721651,5.245
Worcester State University,Worcester,MA,Public,Division III,Northeast,0.216701,3.354
Adrian College,Adrian,MI,Private,Division III,North Central,0.262611,1.619
Albion College,Albion,MI,Private,Division III,North Central,0.499957,1.338
Alma College,Alma,MI,Private,Division III,North Central,0.409027,1.188
Calvin University,Grand Rapids,MI,Private,Division III,North Central,0.597258,2.737
Central Michigan University,Mount Pleasant,MI,Public,Division I,North Central,4.002926,8.564
Davenport University,Grand Rapids,MI,Private,Division II,North Central,1.437861,1.923
University of Detroit Mercy,Detroit,MI,Private,Division I,North Central,5.878454,2.123
Eastern Michigan University,Ypsilanti,MI,Public,Division I,North Central,3.986057,7.92
Grand Valley State University,Allendale,MI,Public,Division II,North Central,2.499018,17.207
Hope College,Holland,MI,Private,Division III,North Central,0.451288,3.2
Kalamazoo College,Kalamazoo,MI,Private,Division III,North Central,0.26585,1.169
Lake Superior State University,Sault Ste Marie,MI,Public,Division II,North Central,1.319731,1.206
University of Michigan-Ann Arbor,Ann Arbor,MI,Public,Division I,North Central,21.702417,32.179
Michigan State University,East Lansing,MI,Public,Division I,North Central,24.738404,37.367
Michigan Technological University,Houghton,MI,Public,Division II,North Central,1.560024,5.613
Northern Michigan University,Marquette,MI,Public,Division II,North Central,1.676874,5.593
Northwood University,Midland,MI,Private,Division II,North Central,1.444504,1.287
Oakland University,Rochester Hills,MI,Public,Division I,North Central,4.454078,10.106
The University of Olivet,Olivet,MI,Private,Division III,North Central,0.41632,0.894
Saginaw Valley State University,University Center,MI,Public,Division II,North Central,1.333236,5.254
Wayne State University,Detroit,MI,Public,Division II,North Central,1.631019,12.464
Western Michigan University,Kalamazoo,MI,Public,Division I,North Central,3.785349,11.013
Augsburg University,Minneapolis,MN,Private,Division III,North Central,0.388872,2.291
Bemidji State University,Bemidji,MN,Public,Division II,North Central,1.018749,2.252
Bethany Lutheran College,Mankato,MN,Private,Division III,North Central,0.361684,0.663
Bethel University,Saint Paul,MN,Private,Division III,North Central,0.409005,1.741
Carleton College,Northfield,MN,Private,Division III,North Central,0.152901,2.019
Concordia College at Moorhead,Moorhead,MN,Private,Division III,North Central,0.404034,1.685
Concordia University-Saint Paul,Saint Paul,MN,Private,Division II,North Central,1.185793,2.069
Martin Luther College,New Ulm,MN,Private,Division III,North Central,0.163435,0.601
Gustavus Adolphus College,Saint Peter,MN,Private,Division III,North Central,0.503034,1.891
Hamline University,Saint Paul,MN,Private,Division III,North Central,0.370959,1.626
Macalester College,Saint Paul,MN,Private,Division III,North Central,0.49041,2.102
Minnesota State University-Mankato,Mankato,MN,Public,Division II,North Central,1.478763,9.761
University of Minnesota-Twin Cities,Minneapolis,MN,Public,Division I,North Central,15.130749,28.533
University of Minnesota-Crookston,Crookston,MN,Public,Division II,North Central,1.188405,1.12
University of Minnesota-Duluth,Duluth,MN,Public,Division II,North Central,1.44938,7.091
University of Minnesota-Morris,Morris,MN,Public,Division III,North Central,0.247521,0.933
Minnesota State University Moorhead,Moorhead,MN,Public,Division II,North Central,1.114747,2.652
North Central University,Minneapolis,MN,Private,Division III,North Central,0.283508,0.72
University of Northwestern-St Paul,Saint Paul,MN,Private,Division III,North Central,0.172964,1.361
Saint Cloud State University,Saint Cloud,MN,Public,Division II,North Central,1.310715,4.08
Saint Mary's University of Minnesota,Winona,MN,Private,Division III,North Central,0.351643,0.862
St Olaf College,Northfield,MN,Private,Division III,North Central,0.311953,3.037
Crown College,Saint Bonifacius,MN,Private,Division III,North Central,0.257104,0.631
The College of Saint Scholastica,Duluth,MN,Private,Division III,North Central,0.369213,1.58
University of St Thomas,Saint Paul,MN,Private,Division I,North Central,4.008471,5.886
St Catherine University,Saint Paul,MN,Private,Division III,North Central,0.168543,1.678
Southwest Minnesota State University,Marshall,MN,Public,Division II,North Central,0.968378,1.481
Winona State University,Winona,MN,Public,Division II,North Central,1.049919,4.442
Alcorn State University,Alcorn State,MS,Public,Division I,South,1.640684,1.966
Belhaven University,Jackson,MS,Private,Division III,South,0.492448,1.088
Delta State University,Cleveland,MS,Public,Division II,South,0.85825,1.407
Jackson State University,Jackson,MS,Public,Division I,South,1.858567,4.27
Millsaps College,Jackson,MS,Private,Division III,South,0.325881,0.578
University of Mississippi,University,MS,Public,Division I,South,23.445063,17.957
Mississippi University for Women,Columbus,MS,Public,Division III,South,0.337391,1.447
Mississippi Valley State University,Itta Bena,MS,Public,Division I,South,1.315388,1.107
Mississippi College,Clinton,MS,Private,Division II,South,1.326082,2.318
Mississippi State University,Mississippi State,MS,Public,Division I,South,16.671379,16.542
University of Southern Mississippi,Hattiesburg,MS,Public,Division I,South,4.046473,8.412
University of Central Missouri,Warrensburg,MO,Public,Division II,North Central,1.668681,4.879
Drury University,Springfield,MO,Private,Division II,North Central,1.767949,1.35
Fontbonne University,Saint Louis,MO,Private,Division III,North Central,0.210101,0.588
Lincoln University,Jefferson City,MO,Public,Division II,North Central,0.95171,1.175
Lindenwood University,Saint Charles,MO,Private,Division I,North Central,2.304704,4.048
Maryville University of Saint Louis,Saint Louis,MO,Private,Division II,North Central,1.466897,3.608
Missouri Southern State University,Joplin,MO,Public,Division II,North Central,1.247859,2.525
Missouri Western State University,Saint Joseph,MO,Public,Division II,North Central,1.496535,2.097
University of Missouri-Columbia,Columbia,MO,Public,Division I,North Central,22.149912,22.045
University of Missouri-Kansas City,Kansas City,MO,Public,Division I,North Central,5.156933,5.724
Missouri University of Science and Technology,Rolla,MO,Public,Division II,North Central,1.198309,4.946
University of Missouri-St Louis,Saint Louis,MO,Public,Division II,North Central,1.067061,3.782
Truman State University,Kirksville,MO,Public,Division II,North Central,1.085087,2.585
Northwest Missouri State University,Maryville,MO,Public,Division II,North Central,1.857606,4.137
Rockhurst University,Kansas City,MO,Private,Division II,North Central,1.480529,1.63
Saint Louis University,Saint Louis,MO,Private,Division I,North Central,12.394872,6.694
Southwest Baptist University,Bolivar,MO,Private,Division II,North Central,1.137738,1.094
Southeast Missouri State University,Cape Girardeau,MO,Public,Division I,North Central,2.60306,5.846
Missouri State University-Springfield,Springfield,MO,Public,Division I,North Central,6.056883,11.497
Washington University in St Louis,Saint Louis,MO,Private,Division III,North Central,1.078616,7.523
Webster University,Saint Louis,MO,Private,Division III,North Central,0.274644,1.816
Westminster College,Fulton,MO,Private,Division III,North Central,0.308123,0.585
William Jewell College,Liberty,MO,Private,Division II,North Central,1.01766,0.841
Montana State University Billings,Billings,MT,Public,Division II,West,1.385129,1.867
Montana State University,Bozeman,MT,Public,Division I,West,4.937615,12.759
The University of Montana,Missoula,MT,Public,Division I,West,5.10534,6.091
Chadron State College,Chadron,NE,Public,Division II,North Central,1.017063,1.464
Creighton University,Omaha,NE,Private,Division I,North Central,16.042735,4.16
University of Nebraska at Kearney,Kearney,NE,Public,Division II,North Central,1.324814,3.672
University of Nebraska at Omaha,Omaha,NE,Public,Division I,North Central,4.590049,9.852
Nebraska Wesleyan University,Lincoln,NE,Private,Division III,North Central,0.354139,1.478
University of Nebraska-Lincoln,Lincoln,NE,Public,Division I,North Central,17.868941,18.078
Wayne State College,Wayne,NE,Public,Division II,North Central,1.119921,2.831
University of Nevada-Las Vegas,Las Vegas,NV,Public,Division I,West,7.097114,19.733
University of Nevada-Reno,Reno,NV,Public,Division I,West,9.04439,13.717
Colby-Sawyer College,New London,NH,Private,Division III,Northeast,0.177225,0.699
Dartmouth College,Hanover,NH,Private,Division I,Northeast,2.54667,4.366
Franklin Pierce University,Rindge,NH,Private,Division II,Northeast,1.295678,0.872
New England College,Henniker,NH,Private,Division III,Northeast,0.304274,0.95
Southern New Hampshire University,Manchester,NH,Private,Division II,Northeast,1.198863,49.043
University of New Hampshire-Main Campus,Durham,NH,Public,Division I,Northeast,3.35866,11.042
Keene State College,Keene,NH,Public,Division III,Northeast,0.454443,2.646
Plymouth State University,Plymouth,NH,Public,Division III,Northeast,0.177122,3.246
Rivier University,Nashua,NH,Private,Division III,Northeast,0.234696,0.994
Saint Anselm College,Manchester,NH,Private,Division II,Northeast,2.060369,2.017
Bloomfield College,Bloomfield,NJ,Private,Division II,Northeast,0.258694,0.832
Caldwell University,Caldwell,NJ,Private,Division II,Northeast,0.738855,1.392
Centenary University,Hackettstown,NJ,Private,Division III,Northeast,0.137893,0.901
Drew University,Madison,NJ,Private,Division III,Northeast,0.31166,1.497
Fairleigh Dickinson University-Metropolitan Campus,Teaneck,NJ,Private,Division I,Northeast,3.123357,2.012
Felician University,Lodi,NJ,Private,Division II,Northeast,1.073298,1.673
Fairleigh Dickinson University-Florham Campus,Madison,NJ,Private,Division III,Northeast,0.291888,1.879
Georgian Court University,Lakewood,NJ,Private,Division II,Northeast,1.194825,1.09
Rowan University,Glassboro,NJ,Public,Division III,Northeast,0.414998,13.005
New Jersey City University,Jersey City,NJ,Public,Division III,Northeast,0.318853,3.544
Kean University,Union,NJ,Public,Division III,Northeast,0.450303,9.277
Monmouth University,West Long Branch,NJ,Private,Division I,Northeast,6.067088,3.707
Montclair State University,Montclair,NJ,Public,Division III,Northeast,0.470387,16.236
New Jersey Institute of Technology,Newark,NJ,Public,Division I,Northeast,4.30143,7.849
Princeton University,Princeton,NJ,Private,Division I,Northeast,3.829074,5.579
Ramapo College of New Jersey,Mahwah,NJ,Public,Division III,Northeast,0.496413,4.378
Rider University,Lawrenceville,NJ,Private,Division I,Northeast,4.064708,3.047
Rutgers University-Camden,Camden,NJ,Public,Division III,Northeast,0.302668,3.318
Rutgers University-New Brunswick,New Brunswick,NJ,Public,Division I,Northeast,22.741637,35.051
Rutgers University-Newark,Newark,NJ,Public,Division III,Northeast,0.416443,6.439
Saint Peter's University,Jersey City,NJ,Private,Division I,Northeast,3.812787,1.848
Seton Hall University,South Orange,NJ,Private,Division I,Northeast,13.096895,5.802
Saint Elizabeth University,Morristown,NJ,Private,Division III,Northeast,0.221691,0.578
Stevens Institute of Technology,Hoboken,NJ,Private,Division III,Northeast,0.519041,4.063
Stockton University,Galloway,NJ,Public,Division III,Northeast,0.468402,7.435
The College of New Jersey,Ewing,NJ,Public,Division III,Northeast,0.428008,6.67
William Paterson University of New Jersey,Wayne,NJ,Public,Division III,Northeast,0.325247,5.13
Eastern New Mexico University-Main Campus,Portales,NM,Public,Division II,West,1.104863,2.228
New Mexico Highlands University,Las Vegas,NM,Public,Division II,West,0.882537,1.014
University of New Mexico-Main Campus,Albuquerque,NM,Public,Division I,West,7.961686,13.591
New Mexico State University-Main Campus,Las Cruces,NM,Public,Division I,West,5.566362,9.829
Western New Mexico University,Silver City,NM,Public,Division II,West,1.167131,1.171
Adelphi University,Garden City,NY,Private,Division II,Northeast,1.539132,4.88
Alfred University,Alfred,NY,Private,Division III,Northeast,0.280972,1.38
Bard College,Annandale-On-Hudson,NY,Private,Division III,Northeast,0.339437,2.101
Canisius University,Buffalo,NY,Private,Division I,Northeast,3.432125,1.721
Clarkson University,Potsdam,NY,Private,Division III,Northeast,0.291126,2.442
Colgate University,Hamilton,NY,Private,Division I,Northeast,5.647274,3.111
Columbia University in the City of New York,New York,NY,Private,Division I,Northeast,3.985542,8.299
Cornell University,Ithaca,NY,Private,Division I,Northeast,2.788673,15.784
CUNY Bernard M Baruch College,New York,NY,Public,Division III,Northeast,0.152929,12.894
CUNY Brooklyn College,Brooklyn,NY,Public,Division III,Northeast,0.135178,8.11
College of Staten Island CUNY,Staten Island,NY,Public,Division II,Northeast,0.607059,7.623
CUNY City College,New York,NY,Public,Division III,Northeast,0.03994,9.909
CUNY Hunter College,New York,NY,Public,Division III,Northeast,0.107455,13.578
CUNY John Jay College of Criminal Justice,New York,NY,Public,Division III,Northeast,0.192103,9.506
CUNY Lehman College,Bronx,NY,Public,Division III,Northeast,0.12092,7.383
CUNY Medgar Evers College,Brooklyn,NY,Public,Division III,Northeast,0.099222,2.49
CUNY Queens College,Queens,NY,Public,Division II,Northeast,0.55934,10.305
CUNY York College,Jamaica,NY,Public,Division III,Northeast,0.083977,3.215
D'Youville  University,Buffalo,NY,Private,Division II,Northeast,0.783407,1.068
Daemen University,Amherst,NY,Private,Division II,Northeast,1.213373,1.657
Dominican University New York,Orangeburg,NY,Private,Division II,Northeast,0.865048,1.022
Elmira College,Elmira,NY,Private,Division III,Northeast,0.271553,0.565
Fordham University,Bronx,NY,Private,Division I,Northeast,11.002637,9.821
Hamilton College,Clinton,NY,Private,Division III,Northeast,0.89734,2.044
Hartwick College,Oneonta,NY,Private,Division III,Northeast,0.279071,1.088
Hilbert College,Hamburg,NY,Private,Division III,Northeast,0.308402,0.874
Hobart William Smith Colleges,Geneva,NY,Private,Division III,Northeast,0.550243,1.588
Hofstra University,Hempstead,NY,Private,Division I,Northeast,7.361033,5.966
Houghton University,Houghton,NY,Private,Division III,Northeast,0.199785,0.826
Iona University,New Rochelle,NY,Private,Division I,Northeast,6.637263,2.701
Ithaca College,Ithaca,NY,Private,Division III,Northeast,0.510242,4.279
Keuka College,Keuka Park,NY,Private,Division III,Northeast,0.236392,0.851
Le Moyne College,Syracuse,NY,Private,Division I,Northeast,2.158569,2.184
Long Island University,Brookville,NY,Private,Division I,Northeast,5.423255,4.967
Manhattan College,Riverdale,NY,Private,Division I,Northeast,4.026383,2.783
Manhattanville College,Purchase,NY,Private,Division III,Northeast,0.277013,1.217
Marist College,Poughkeepsie,NY,Private,Division I,Northeast,4.526965,4.878
Mercy University,Dobbs Ferry,NY,Private,Division II,Northeast,0.507307,4.889
Molloy College,Rockville Centre,NY,Private,Division II,Northeast,0.627589,2.676
Mount Saint Mary College,Newburgh,NY,Private,Division III,Northeast,0.291218,1.063
University of Mount Saint Vincent,Bronx,NY,Private,Division III,Northeast,0.199756,2.228
Nazareth University,Rochester,NY,Private,Division III,Northeast,0.282324,1.843
New York University,New York,NY,Private,Division III,Northeast,1.263549,28.491
Niagara University,Niagara University,NY,Private,Division I,Northeast,4.415894,2.661
Pace University,New York,NY,Private,Division II,Northeast,1.412524,7.434
Pratt Institute-Main,Brooklyn,NY,Private,Division III,Northeast,0.256902,3.699
Rensselaer Polytechnic Institute,Troy,NY,Private,Division III,Northeast,0.412649,5.882
Roberts Wesleyan University,Rochester,NY,Private,Division II,Northeast,0.701072,0.941
University of Rochester,Rochester,NY,Private,Division III,Northeast,0.697289,6.321
Russell Sage College,Troy,NY,Private,Division III,Northeast,0.153879,1.054
St Bonaventure University,Saint Bonaventure,NY,Private,Division I,Northeast,7.493131,1.875
St Lawrence University,Canton,NY,Private,Division III,Northeast,0.35071600000000003,2.038
St. Thomas Aquinas College,Sparkill,NY,Private,Division II,Northeast,1.237226,0.987
Sarah Lawrence College,Bronxville,NY,Private,Division III,Northeast,0.193303,1.446
Siena College,Loudonville,NY,Private,Division I,Northeast,5.845794,3.38
Skidmore College,Saratoga Springs,NY,Private,Division III,Northeast,0.297741,2.735
St. Joseph's University-New York,Brooklyn,NY,Private,Division III,Northeast,0.212689,3.021
St. John Fisher University,Rochester,NY,Private,Division III,Northeast,0.497998,2.525
St. John's University-New York,Queens,NY,Private,Division I,Northeast,21.336894,9.558
SUNY College of Technology at Alfred,Alfred,NY,Public,Division III,Northeast,0.330367,3.231
SUNY College of Technology at Canton,Canton,NY,Public,Division III,Northeast,0.295987,2.326
SUNY College of Technology at Delhi,Delhi,NY,Public,Division III,Northeast,0.190594,2.214
SUNY College of Agriculture and Technology at Cobleskill,Cobleskill,NY,Public,Division III,Northeast,0.248236,1.671
Farmingdale State College,Farmingdale,NY,Public,Division III,Northeast,0.201879,7.534
SUNY Morrisville,Morrisville,NY,Public,Division III,Northeast,0.35899,1.687
University at Albany,Albany,NY,Public,Division I,Northeast,3.619754,11.551
Binghamton University,Vestal,NY,Public,Division I,Northeast,4.749465,14.086
University at Buffalo,Buffalo,NY,Public,Division I,Northeast,7.157616,18.902
Stony Brook University,Stony Brook,NY,Public,Division I,Northeast,5.800086,16.388
SUNY Polytechnic Institute,Utica,NY,Public,Division III,Northeast,0.311965,1.625
SUNY Brockport,Brockport,NY,Public,Division III,Northeast,0.352901,4.837
SUNY Buffalo State University,Buffalo,NY,Public,Division III,Northeast,0.337641,4.871
State University of New York at Cortland,Cortland,NY,Public,Division III,Northeast,0.328734,5.772
SUNY at Fredonia,Fredonia,NY,Public,Division III,Northeast,0.350651,2.783
SUNY College at Geneseo,Geneseo,NY,Public,Division III,Northeast,0.401624,3.713
State University of New York at New Paltz,New Paltz,NY,Public,Division III,Northeast,0.372673,5.564
SUNY Oneonta,Oneonta,NY,Public,Division III,Northeast,0.41796,4.757
State University of New York at Oswego,Oswego,NY,Public,Division III,Northeast,0.351334,5.304
SUNY College at Potsdam,Potsdam,NY,Public,Division III,Northeast,0.261156,1.882
SUNY at Purchase College,Purchase,NY,Public,Division III,Northeast,0.221545,2.911
SUNY Old Westbury,Old Westbury,NY,Public,Division III,Northeast,0.16394,3.433
SUNY College at Plattsburgh,Plattsburgh,NY,Public,Division III,Northeast,0.386254,3.389
SUNY Maritime College,Throggs Neck,NY,Public,Division III,Northeast,0.07751,1.167
Syracuse University,Syracuse,NY,Private,Division I,Northeast,23.027879,14.732
Union College,Schenectady,NY,Private,Division III,Northeast,0.534573,2.057
United States Merchant Marine Academy,Kings Point,NY,Public,Division III,Northeast,0.462911,0.947
Utica University,Utica,NY,Private,Division III,Northeast,0.410558,2.243
Vassar College,Poughkeepsie,NY,Private,Division III,Northeast,0.41084,2.426
Wagner College,Staten Island,NY,Private,Division I,Northeast,4.086736,1.54
Yeshiva University,New York,NY,Private,Division III,Northeast,0.259312,2.922
Appalachian State University,Boone,NC,Public,Division I,South,4.043145,18.079
Barton College,Wilson,NC,Private,Division II,South,0.989909,0.978
Belmont Abbey College,Belmont,NC,Private,Division II,South,0.909639,1.402
Brevard College,Brevard,NC,Private,Division III,South,0.337088,0.747
Campbell University,Buies Creek,NC,Private,Division I,South,4.064623,2.364
Catawba College,Salisbury,NC,Private,Division II,South,1.319464,1.069
Chowan University,Murfreesboro,NC,Private,Division II,South,0.886519,0.611
Davidson College,Davidson,NC,Private,Division I,South,6.401781,1.901
Duke University,Durham,NC,Private,Division I,South,34.64985,6.391
East Carolina University,Greenville,NC,Public,Division I,South,7.289086,17.222
Elizabeth City State University,Elizabeth City,NC,Public,Division II,South,1.307158,1.678
Elon University,Elon,NC,Private,Division I,South,5.169583,6.248
Fayetteville State University,Fayetteville,NC,Public,Division II,South,1.072375,4.058
Gardner-Webb University,Boiling Springs,NC,Private,Division I,South,2.193843,1.575
Greensboro College,Greensboro,NC,Private,Division III,South,0.30139,0.637
Guilford College,Greensboro,NC,Private,Division III,South,0.454923,0.991
High Point University,High Point,NC,Private,Division I,South,6.946423,4.943
Johnson C Smith University,Charlotte,NC,Private,Division II,South,1.530174,1.006
Lees-McRae College,Banner Elk,NC,Private,Division II,South,1.073506,0.795
Lenoir-Rhyne University,Hickory,NC,Private,Division II,South,1.157014,1.299
Livingstone College,Salisbury,NC,Private,Division II,South,1.047229,0.795
Mars Hill University,Mars Hill,NC,Private,Division II,South,0.971957,0.948
Methodist University,Fayetteville,NC,Private,Division III,South,0.292811,1.343
University of Mount Olive,Mount Olive,NC,Private,Division II,South,0.977495,1.238
North Carolina A & T State University,Greensboro,NC,Public,Division I,South,3.672913,10.979
University of North Carolina Asheville,Asheville,NC,Public,Division I,South,2.384488,2.511
University of North Carolina at Chapel Hill,Chapel Hill,NC,Public,Division I,South,18.893843,19.836
University of North Carolina at Charlotte,Charlotte,NC,Public,Division I,South,5.748731,20.734
University of North Carolina at Greensboro,Greensboro,NC,Public,Division I,South,4.934598,11.641
North Carolina Central University,Durham,NC,Public,Division I,South,2.869908,4.786
North Carolina State University at Raleigh,Raleigh,NC,Public,Division I,South,18.404122,24.727
North Carolina Wesleyan University,Rocky Mount,NC,Private,Division III,South,0.379602,1.035
University of North Carolina Wilmington,Wilmington,NC,Public,Division I,South,4.265474,12.244
William Peace University,Raleigh,NC,Private,Division III,South,0.306479,0.582
University of North Carolina at Pembroke,Pembroke,NC,Public,Division II,South,0.729769,3.988
Pfeiffer University,Misenheimer,NC,Private,Division III,South,0.317952,0.624
Queens University of Charlotte,Charlotte,NC,Private,Division I,South,3.156378,1.322
Saint Augustine's University,Raleigh,NC,Private,Division II,South,1.193865,0.709
Salem College,Winston-Salem,NC,Private,Division III,South,0.090345,0.346
Shaw University,Raleigh,NC,Private,Division II,South,1.20556,0.754
Wake Forest University,Winston-Salem,NC,Private,Division I,South,17.731299,5.413
Warren Wilson College,Swannanoa,NC,Private,Division III,South,0.152413,0.717
Wingate University,Wingate,NC,Private,Division II,South,0.990185,2.424
Winston-Salem State University,Winston-Salem,NC,Public,Division II,South,1.428671,3.767
Western Carolina University,Cullowhee,NC,Public,Division I,South,2.404586,8.162
University of Mary,Bismarck,ND,Private,Division II,North Central,1.237449,1.991
Minot State University,Minot,ND,Public,Division II,North Central,1.106665,1.719
University of North Dakota,Grand Forks,ND,Public,Division I,North Central,4.558806,7.062
North Dakota State University-Main Campus,Fargo,ND,Public,Division I,North Central,3.54549,8.766
University of Akron Main Campus,Akron,OH,Public,Division I,North Central,5.477921,8.374
Ashland University,Ashland,OH,Private,Division II,North Central,1.609647,1.886
Baldwin Wallace University,Berea,OH,Private,Division III,North Central,0.396688,2.687
Bluffton University,Bluffton,OH,Private,Division III,North Central,0.28546,0.583
Bowling Green State University-Main Campus,Bowling Green,OH,Public,Division I,North Central,4.507719,11.531
Capital University,Columbus,OH,Private,Division III,North Central,0.506051,1.664
Case Western Reserve University,Cleveland,OH,Private,Division III,North Central,0.549717,6.068
Cedarville University,Cedarville,OH,Private,Division II,North Central,1.564012,3.764
Central State University,Wilberforce,OH,Public,Division II,North Central,0.563288,2.408
University of Cincinnati-Main Campus,Cincinnati,OH,Public,Division I,North Central,17.046159,26.082
Cleveland State University,Cleveland,OH,Public,Division I,North Central,4.692685,7.482
University of Dayton,Dayton,OH,Private,Division I,North Central,14.404252,7.882
Defiance College,Defiance,OH,Private,Division III,North Central,0.280196,0.427
Denison University,Granville,OH,Private,Division III,North Central,0.537461,2.391
The University of Findlay,Findlay,OH,Private,Division II,North Central,1.423661,2.178
Heidelberg University,Tiffin,OH,Private,Division III,North Central,0.376535,0.878
Hiram College,Hiram,OH,Private,Division III,North Central,0.25708,0.698
John Carroll University,University Heights,OH,Private,Division III,North Central,0.474566,2.187
Kent State University at Kent,Kent,OH,Public,Division I,North Central,3.964739,16.575
Kenyon College,Gambier,OH,Private,Division III,North Central,0.294448,1.752
Lake Erie College,Painesville,OH,Private,Division II,North Central,0.761189,0.671
Malone University,Canton,OH,Private,Division II,North Central,0.925133,0.729
Marietta College,Marietta,OH,Private,Division III,North Central,0.457232,1.018
Miami University-Oxford,Oxford,OH,Public,Division I,North Central,4.640764,15.979
University of Mount Union,Alliance,OH,Private,Division III,North Central,0.532664,1.768
Mount St. Joseph University,Cincinnati,OH,Private,Division III,North Central,0.421669,1.057
Muskingum University,New Concord,OH,Private,Division III,North Central,0.383021,1.279
Oberlin College,Oberlin,OH,Private,Division III,North Central,0.425246,2.941
Ohio Dominican University,Columbus,OH,Private,Division II,North Central,0.830497,0.734
Ohio Northern University,Ada,OH,Private,Division III,North Central,0.66325,2.34
Ohio State University-Main Campus,Columbus,OH,Public,Division I,North Central,29.157732,41.782
Ohio University-Main Campus,Athens,OH,Public,Division I,North Central,5.295211,15.684
Ohio Wesleyan University,Delaware,OH,Private,Division III,North Central,0.41724,1.44
Otterbein University,Westerville,OH,Private,Division III,North Central,0.37994,1.97
Franciscan University of Steubenville,Steubenville,OH,Private,Division III,North Central,0.118986,2.565
Tiffin University,Tiffin,OH,Private,Division II,North Central,1.09037,1.579
University of Toledo,Toledo,OH,Public,Division I,North Central,5.625179,9.156
Ursuline College,Pepper Pike,OH,Private,Division II,North Central,0.447492,0.522
