institution_name,city,state,type,division,region,expenditure_m,enrollment_th
Walsh University,North Canton,OH,Private,Division II,North Central,1.308623,1.211
Wilmington College,Wilmington,OH,Private,Division III,North Central,0.251368,0.889
Wittenberg University,Springfield,OH,Private,Division III,North Central,0.536503,1.258
The College of Wooster,Wooster,OH,Private,Division III,North Central,0.401348,1.87
Wright State University-Main Campus,Dayton,OH,Public,Division I,North Central,4.192924,5.271
Xavier University,Cincinnati,OH,Private,Division I,North Central,18.279239,4.574
Youngstown State University,Youngstown,OH,Public,Division I,North Central,3.565991,6.515
Southern Nazarene University,Bethany,OK,Private,Division II,South,1.37856,1.441
Cameron University,Lawton,OK,Public,Division II,South,0.806316,1.895
University of Central Oklahoma,Edmond,OK,Public,Division II,South,1.208978,7.864
East Central University,Ada,OK,Public,Division II,South,1.031293,1.901
Northeastern State University,Tahlequah,OK,Public,Division II,South,0.890836,3.532
Northwestern Oklahoma State University,Alva,OK,Public,Division II,South,0.873031,1.296
Oklahoma Christian University,Edmond,OK,Private,Division II,South,1.231789,1.711
Oklahoma State University-Main Campus,Stillwater,OK,Public,Division I,South,15.430338,18.882
Oklahoma Baptist University,Shawnee,OK,Private,Division II,South,1.234998,1.272
University of Oklahoma-Norman Campus,Norman,OK,Public,Division I,South,19.566438,19.121
Oral Roberts University,Tulsa,OK,Private,Division I,South,4.461972,2.83
Rogers State University,Claremore,OK,Public,Division II,South,1.311378,1.975
Southeastern Oklahoma State University,Durant,OK,Public,Division II,South,1.048251,2.196
Southwestern Oklahoma State University,Weatherford,OK,Public,Division II,South,0.838693,2.963
University of Tulsa,Tulsa,OK,Private,Division I,South,7.864551,2.27
George Fox University,Newberg,OR,Private,Division III,West,0.515149,2.339
Lewis & Clark College,Portland,OR,Private,Division III,West,0.358958,2.153
Linfield University,McMinnville,OR,Private,Division III,West,0.371517,1.557
Oregon State University,Corvallis,OR,Public,Division I,West,12.533303,20.694
University of Oregon,Eugene,OR,Public,Division I,West,18.212986,18.675
Pacific University,Forest Grove,OR,Private,Division III,West,0.59313,1.459
Portland State University,Portland,OR,Public,Division I,West,3.369003,10.254
University of Portland,Portland,OR,Private,Division I,West,5.798773,3.051
Willamette University,Salem,OR,Private,Division III,West,0.425393,1.51
Western Oregon University,Monmouth,OR,Public,Division II,West,1.221202,2.785
Bryn Athyn College of the New Church,Bryn Athyn,PA,Private,Division III,Northeast,0.172538,0.267
Albright College,Reading,PA,Private,Division III,Northeast,0.150506,1.215
Allegheny College,Meadville,PA,Private,Division III,Northeast,0.435298,1.151
DeSales University,Center Valley,PA,Private,Division III,Northeast,0.385997,1.845
Alvernia University,Reading,PA,Private,Division III,Northeast,0.278666,1.716
Arcadia University,Glenside,PA,Private,Division III,Northeast,0.301536,1.581
Bucknell University,Lewisburg,PA,Private,Division I,Northeast,4.998751,3.813
Carlow University,Pittsburgh,PA,Private,Division III,Northeast,0.360432,0.988
Carnegie Mellon University,Pittsburgh,PA,Private,Division III,Northeast,0.557704,7.038
Cedar Crest College,Allentown,PA,Private,Division III,Northeast,0.073756,0.657
Chatham University,Pittsburgh,PA,Private,Division III,Northeast,0.293619,1.207
Chestnut Hill College,Philadelphia,PA,Private,Division II,Northeast,0.535916,0.796
Delaware Valley University,Doylestown,PA,Private,Division III,Northeast,0.280522,1.583
Dickinson College,Carlisle,PA,Private,Division III,Northeast,0.253805,2.152
Drexel University,Philadelphia,PA,Private,Division I,Northeast,6.132952,12.494
Duquesne University,Pittsburgh,PA,Private,Division I,Northeast,10.214989,5.151
East Stroudsburg University of Pennsylvania,East Stroudsburg,PA,Public,Division II,Northeast,1.099893,4.301
Eastern University,Saint Davids,PA,Private,Division III,Northeast,0.327827,1.407
Elizabethtown College,Elizabethtown,PA,Private,Division III,Northeast,0.363858,1.709
Franklin and Marshall College,Lancaster,PA,Private,Division III,Northeast,0.457264,1.902
Gannon University,Erie,PA,Private,Division II,Northeast,1.986029,2.415
Geneva College,Beaver Falls,PA,Private,Division III,Northeast,0.294744,0.959
Gettysburg College,Gettysburg,PA,Private,Division III,Northeast,0.530544,2.207
Gwynedd Mercy University,Gwynedd Valley,PA,Private,Division III,Northeast,0.143365,1.04
Haverford College,Haverford,PA,Private,Division III,Northeast,0.323265,1.419
Holy Family University,Philadelphia,PA,Private,Division II,Northeast,0.793099,2.071
Immaculata University,Immaculata,PA,Private,Division III,Northeast,0.121557,1.015
Indiana University of Pennsylvania-Main Campus,Indiana,PA,Public,Division II,Northeast,1.54523,6.463
Juniata College,Huntingdon,PA,Private,Division III,Northeast,0.445511,1.174
Keystone College,La Plume,PA,Private,Division III,Northeast,0.192735,0.717
King's College,Wilkes-Barre,PA,Private,Division III,Northeast,0.30888,1.492
Kutztown University of Pennsylvania,Kutztown,PA,Public,Division II,Northeast,1.046211,6.049
La Roche University,Pittsburgh,PA,Private,Division III,Northeast,0.181456,0.691
La Salle University,Philadelphia,PA,Private,Division I,Northeast,5.437274,1.7
Lafayette College,Easton,PA,Private,Division I,Northeast,5.431511,2.734
Lancaster Bible College,Lancaster,PA,Private,Division III,Northeast,0.220628,0.928
Lebanon Valley College,Annville,PA,Private,Division III,Northeast,0.348218,1.638
Lehigh University,Bethlehem,PA,Private,Division I,Northeast,4.208798,5.732
Lincoln University,Lincoln University,PA,Public,Division II,Northeast,1.178474,1.609
Lycoming College,Williamsport,PA,Private,Division III,Northeast,0.373966,1.044
Marywood University,Scranton,PA,Private,Division III,Northeast,0.155781,1.751
Mercyhurst University,Erie,PA,Private,Division II,Northeast,1.692233,2.129
Messiah University,Mechanicsburg,PA,Private,Division III,Northeast,0.342746,2.254
Millersville University of Pennsylvania,Millersville,PA,Public,Division II,Northeast,1.012869,4.651
Misericordia University,Dallas,PA,Private,Division III,Northeast,0.239818,1.456
Moravian University,Bethlehem,PA,Private,Division III,Northeast,0.348545,1.867
Mount Aloysius College,Cresson,PA,Private,Division III,Northeast,0.141823,1.033
Muhlenberg College,Allentown,PA,Private,Division III,Northeast,0.341357,1.747
Neumann University,Aston,PA,Private,Division III,Northeast,0.192344,1.357
Pennsylvania State University-Penn State Erie-Behrend College,Erie,PA,Public,Division III,Northeast,0.314304,3.059
Pennsylvania State University-Penn State Altoona,Altoona,PA,Public,Division III,Northeast,0.218881,2.358
Pennsylvania State University-Penn State Berks,Reading,PA,Public,Division III,Northeast,0.104413,1.737
Pennsylvania State University-Penn State Harrisburg,Middletown,PA,Public,Division III,Northeast,0.310158,3.956
Pennsylvania State University-Main Campus,University Park,PA,Public,Division I,Northeast,15.794103,40.951
Pennsylvania State University-Penn State Abington,Abington,PA,Public,Division III,Northeast,0.233334,2.858
University of Pennsylvania,Philadelphia,PA,Private,Division I,Northeast,3.517523,10.295
Cairn University-Langhorne,Langhorne,PA,Private,Division III,Northeast,0.112977,0.741
University of Pittsburgh-Bradford,Bradford,PA,Public,Division III,Northeast,0.328225,0.947
University of Pittsburgh-Greensburg,Greensburg,PA,Public,Division III,Northeast,0.179153,1.27
University of Pittsburgh-Johnstown,Johnstown,PA,Public,Division II,Northeast,1.068074,1.892
University of Pittsburgh-Pittsburgh Campus,Pittsburgh,PA,Public,Division I,Northeast,17.873541,19.564
Robert Morris University,Moon Township,PA,Private,Division I,Northeast,3.890886,2.725
Rosemont College,Rosemont,PA,Private,Division III,Northeast,0.167267,0.351
Saint Francis University,Loretto,PA,Private,Division I,Northeast,3.409041,1.382
Saint Joseph's University,Philadelphia,PA,Private,Division I,Northeast,7.63429,4.591
Saint Vincent College,Latrobe,PA,Private,Division III,Northeast,0.496689,1.247
University of Scranton,Scranton,PA,Private,Division III,Northeast,0.677462,3.506
Seton Hill University,Greensburg,PA,Private,Division II,Northeast,1.053775,1.449
Shippensburg University of Pennsylvania,Shippensburg,PA,Public,Division II,Northeast,1.065496,3.917
Slippery Rock University of Pennsylvania,Slippery Rock,PA,Public,Division II,Northeast,0.958786,6.334
Susquehanna University,Selinsgrove,PA,Private,Division III,Northeast,0.396092,2.106
Swarthmore College,Swarthmore,PA,Private,Division III,Northeast,0.479528,1.626
Temple University,Philadelphia,PA,Public,Division I,Northeast,12.510527,19.848
Thiel College,Greenville,PA,Private,Division III,Northeast,0.248257,0.766
Thomas Jefferson University,Philadelphia,PA,Private,Division II,Northeast,1.474106,3.363
Ursinus College,Collegeville,PA,Private,Division III,Northeast,0.435136,1.473
University of Valley Forge,Phoenixville,PA,Private,Division III,Northeast,0.065183,0.422
Villanova University,Villanova,PA,Private,Division I,Northeast,17.142737,6.774
Washington & Jefferson College,Washington,PA,Private,Division III,Northeast,0.293725,1.151
Waynesburg University,Waynesburg,PA,Private,Division III,Northeast,0.354178,1.038
West Chester University of Pennsylvania,West Chester,PA,Public,Division II,Northeast,1.031392,12.799
Westminster College,New Wilmington,PA,Private,Division III,Northeast,0.259341,1.049
Widener University,Chester,PA,Private,Division III,Northeast,0.381344,2.582
Wilkes University,Wilkes-Barre,PA,Private,Division III,Northeast,0.361826,1.808
Wilson College,Chambersburg,PA,Private,Division III,Northeast,0.22661800000000001,0.574
York College of Pennsylvania,York,PA,Private,Division III,Northeast,0.341749,2.92
Brown University,Providence,RI,Private,Division I,Northeast,3.269945,7.211
Bryant University,Smithfield,RI,Private,Division I,Northeast,4.20575,3.219
Johnson & Wales University-Providence,Providence,RI,Private,Division III,Northeast,0.320055,3.763
Providence College,Providence,RI,Private,Division I,Northeast,18.025549,4.078
Rhode Island College,Providence,RI,Public,Division III,Northeast,0.429002,3.942
University of Rhode Island,Kingston,RI,Public,Division I,Northeast,9.88554,13.061
Roger Williams University,Bristol,RI,Private,Division III,Northeast,0.257795,3.674
Salve Regina University,Newport,RI,Private,Division III,Northeast,0.331397,2.054
Allen University,Columbia,SC,Private,Division II,South,0.606591,0.625
Anderson University,Anderson,SC,Private,Division II,South,1.371596,2.988
Charleston Southern University,Charleston,SC,Private,Division I,South,2.622556,2.568
Benedict College,Columbia,SC,Private,Division II,South,1.121411,1.528
Southern Wesleyan University,Central,SC,Private,Division II,South,0.633343,0.622
College of Charleston,Charleston,SC,Public,Division I,South,7.704324,9.867
Citadel Military College of South Carolina,Charleston,SC,Public,Division I,South,1.895962,2.475
Claflin University,Orangeburg,SC,Private,Division II,South,0.964042,1.613
Clemson University,Clemson,SC,Public,Division I,South,18.178137,22.126
Coker University,Hartsville,SC,Private,Division II,South,0.928704,0.766
Converse University,Spartanburg,SC,Private,Division II,South,0.922399,0.821
Erskine College,Due West,SC,Private,Division II,South,0.653379,0.812
Francis Marion University,Florence,SC,Public,Division II,South,1.02523,2.478
Furman University,Greenville,SC,Private,Division I,South,6.348427,2.293
Lander University,Greenwood,SC,Public,Division II,South,1.675285,3.213
Limestone University,Gaffney,SC,Private,Division II,South,0.950454,1.288
Newberry College,Newberry,SC,Private,Division II,South,1.076018,1.441
North Greenville University,Tigerville,SC,Private,Division II,South,1.047431,1.639
University of South Carolina Aiken,Aiken,SC,Public,Division II,South,1.307487,2.377
University of South Carolina Beaufort,Bluffton,SC,Public,Division II,South,0.866918,1.718
University of South Carolina-Columbia,Columbia,SC,Public,Division I,South,21.39123,27.245
Coastal Carolina University,Conway,SC,Public,Division I,South,5.109865,9.501
South Carolina State University,Orangeburg,SC,Public,Division I,South,2.803774,2.562
University of South Carolina-Upstate,Spartanburg,SC,Public,Division I,South,2.444303,3.44
Winthrop University,Rock Hill,SC,Public,Division I,South,3.188137,3.209
Wofford College,Spartanburg,SC,Private,Division I,South,3.751068,1.867
Augustana University,Sioux Falls,SD,Private,Division II,North Central,1.555804,1.776
Black Hills State University,Spearfish,SD,Public,Division II,North Central,1.256997,1.552
Northern State University,Aberdeen,SD,Public,Division II,North Central,1.228368,0.997
South Dakota School of Mines and Technology,Rapid City,SD,Public,Division II,North Central,1.18144,1.732
South Dakota State University,Brookings,SD,Public,Division I,North Central,4.411737,7.691
University of Sioux Falls,Sioux Falls,SD,Private,Division II,North Central,1.14471,1.164
University of South Dakota,Vermillion,SD,Public,Division I,North Central,3.519097,4.551
Austin Peay State University,Clarksville,TN,Public,Division I,South,3.877351,5.4
Belmont University,Nashville,TN,Private,Division I,South,6.822196,7.035
Carson-Newman University,Jefferson City,TN,Private,Division II,South,1.260137,1.337
Christian Brothers University,Memphis,TN,Private,Division II,South,1.185658,0.903
Lipscomb University,Nashville,TN,Private,Division I,South,4.225145,2.871
East Tennessee State University,Johnson City,TN,Public,Division I,South,3.233111,8.611
King University,Bristol,TN,Private,Division II,South,1.144633,0.878
Lane College,Jackson,TN,Private,Division II,South,0.818283,0.785
Le Moyne-Owen College,Memphis,TN,Private,Division II,South,0.720844,0.494
Lee University,Cleveland,TN,Private,Division II,South,1.406535,2.427
Lincoln Memorial University,Harrogate,TN,Private,Division II,South,1.907241,1.268
Maryville College,Maryville,TN,Private,Division III,South,0.467845,1.017
University of Memphis,Memphis,TN,Public,Division I,South,13.620198,11.221
Middle Tennessee State University,Murfreesboro,TN,Public,Division I,South,6.827101,13.875
Rhodes College,Memphis,TN,Private,Division III,South,0.576116,1.891
The University of the South,Sewanee,TN,Private,Division III,South,0.5098,1.587
The University of Tennessee-Chattanooga,Chattanooga,TN,Public,Division I,South,3.516011,8.975
The University of Tennessee-Knoxville,Knoxville,TN,Public,Division I,South,21.006229,27.832
The University of Tennessee-Martin,Martin,TN,Public,Division I,South,2.828141,4.285
Tennessee State University,Nashville,TN,Public,Division I,South,3.048999,5.886
Tennessee Technological University,Cookeville,TN,Public,Division I,South,3.111188,7.832
Trevecca Nazarene University,Nashville,TN,Private,Division II,South,1.342851,1.328
Tusculum University,Greeneville,TN,Private,Division II,South,1.087705,0.827
Union University,Jackson,TN,Private,Division II,South,1.45356,1.491
Vanderbilt University,Nashville,TN,Private,Division I,South,25.562949,7.086
Abilene Christian University,Abilene,TX,Private,Division I,South,4.596044,3.05
Angelo State University,San Angelo,TX,Public,Division II,South,1.127437,4.927
Austin College,Sherman,TX,Private,Division III,South,0.450924,1.123
Baylor University,Waco,TX,Private,Division I,South,24.419759,14.788
Concordia University Texas,Austin,TX,Private,Division III,South,0.446746,1.191
Texas A & M University-Corpus Christi,Corpus Christi,TX,Public,Division I,South,3.980555,5.999
Dallas Baptist University,Dallas,TX,Private,Division II,South,1.08987,2.155
University of Dallas,Irving,TX,Private,Division III,South,0.347951,1.373
East Texas Baptist University,Marshall,TX,Private,Division III,South,0.618287,1.249
Texas A & M University-Commerce,Commerce,TX,Public,Division I,South,3.113751,5.756
Hardin-Simmons University,Abilene,TX,Private,Division III,South,0.44119,1.227
Houston Christian University,Houston,TX,Private,Division I,South,2.667318,2.189
University of Houston,Houston,TX,Public,Division I,South,15.503066,27.553
Howard Payne University,Brownwood,TX,Private,Division III,South,0.339815,0.658
University of the Incarnate Word,San Antonio,TX,Private,Division I,South,3.326049,4.016
Lamar University,Beaumont,TX,Public,Division I,South,3.173835,6.004
Texas A & M International University,Laredo,TX,Public,Division II,South,1.291188,5.258
LeTourneau University,Longview,TX,Private,Division III,South,0.409329,1.308
Lubbock Christian University,Lubbock,TX,Private,Division II,South,1.601979,1.137
University of Mary Hardin-Baylor,Belton,TX,Private,Division III,South,0.648964,2.808
McMurry University,Abilene,TX,Private,Division III,South,0.446093,1.031
Midwestern State University,Wichita Falls,TX,Public,Division II,South,0.96746,3.161
University of North Texas,Denton,TX,Public,Division I,South,7.107843,27.86
The University of Texas Rio Grande Valley,Edinburg,TX,Public,Division I,South,3.905957,20.087
Prairie View A & M University,Prairie View,TX,Public,Division I,South,2.212209,7.862
Rice University,Houston,TX,Private,Division I,South,7.729782,4.472
Saint Edward's University,Austin,TX,Private,Division II,South,1.968196,2.581
University of St Thomas,Houston,TX,Private,Division III,South,0.33184,2.387
Sam Houston State University,Huntsville,TX,Public,Division I,South,3.611142,14.533
Schreiner University,Kerrville,TX,Private,Division III,South,0.410745,1.004
St. Mary's University,San Antonio,TX,Private,Division II,South,1.732356,1.838
Southern Methodist University,Dallas,TX,Private,Division I,South,12.917124,6.947
Southwestern University,Georgetown,TX,Private,Division III,South,0.396451,1.44
Stephen F Austin State University,Nacogdoches,TX,Public,Division I,South,4.47787,7.764
Texas State University,San Marcos,TX,Public,Division I,South,4.285795,29.092
Sul Ross State University,Alpine,TX,Public,Division II,South,0.325712,0.871
Tarleton State University,Stephenville,TX,Public,Division I,South,3.681484,9.221
Texas A & M University-Kingsville,Kingsville,TX,Public,Division II,South,1.330862,4.048
Texas A & M University-College Station,College Station,TX,Public,Division I,South,21.72933,52.83
The University of Texas at Arlington,Arlington,TX,Public,Division I,South,4.845113,20.297
The University of Texas at Austin,Austin,TX,Public,Division I,South,24.515381,39.617
The University of Texas at Dallas,Richardson,TX,Public,Division III,South,0.553405,18.108
The University of Texas at El Paso,El Paso,TX,Public,Division I,South,7.696708,14.577
The University of Texas at Tyler,Tyler,TX,Public,Division II,South,1.746597,5.064
Texas Christian University,Fort Worth,TX,Private,Division I,South,22.091625,10.718
Texas Lutheran University,Seguin,TX,Private,Division III,South,0.343493,1.226
The University of Texas at San Antonio,San Antonio,TX,Public,Division I,South,5.236831,22.505
Texas Southern University,Houston,TX,Public,Division I,South,2.625295,5.729
Texas Tech University,Lubbock,TX,Public,Division I,South,18.477494,29.56
Texas Woman's University,Denton,TX,Public,Division II,South,0.681528,6.731
Trinity University,San Antonio,TX,Private,Division III,South,0.864226,2.48
West Texas A & M University,Canyon,TX,Public,Division II,South,1.642249,5.411
Brigham Young University,Provo,UT,Private,Division I,West,16.46865,29.261
Utah Tech University,Saint George,UT,Public,Division I,West,3.395663,6.75
Southern Utah University,Cedar City,UT,Public,Division I,West,3.111568,8.111
Utah State University,Logan,UT,Public,Division I,West,8.026809,16.558
Utah Valley University,Orem,UT,Public,Division I,West,3.59534,17.816
University of Utah,Salt Lake City,UT,Public,Division I,West,13.195757,22.272
Weber State University,Ogden,UT,Public,Division I,West,3.480831,10.431
Westminster University,Salt Lake City,UT,Private,Division II,West,0.772883,0.851
Middlebury College,Middlebury,VT,Private,Division III,Northeast,0.503448,2.772
Norwich University,Northfield,VT,Private,Division III,Northeast,0.433133,2.063
Saint Michael's College,Colchester,VT,Private,Division II,Northeast,1.878277,1.141
University of Vermont,Burlington,VT,Public,Division I,Northeast,4.983794,11.321
Averett University,Danville,VA,Private,Division III,South,0.322156,1.055
Bridgewater College,Bridgewater,VA,Private,Division III,South,0.463525,1.385
William & Mary,Williamsburg,VA,Public,Division I,South,5.436417,6.882
Christopher Newport University,Newport News,VA,Public,Division III,South,0.833519,4.321
Emory & Henry College,Emory,VA,Private,Division II,South,0.804717,1.086
Eastern Mennonite University,Harrisonburg,VA,Private,Division III,South,0.327925,0.771
Ferrum College,Ferrum,VA,Private,Division III,South,0.400571,0.73
George Mason University,Fairfax,VA,Public,Division I,South,8.05449,21.991
Hampden-Sydney College,Hampden-Sydney,VA,Private,Division III,South,0.687924,0.873
Hampton University,Hampton,VA,Private,Division I,South,3.255139,3.132
James Madison University,Harrisonburg,VA,Public,Division I,South,9.214221,19.474
Liberty University,Lynchburg,VA,Private,Division I,South,7.754923,31.511
Longwood University,Farmville,VA,Public,Division I,South,4.064883,2.836
University of Lynchburg,Lynchburg,VA,Private,Division III,South,0.366678,1.558
Mary Baldwin University,Staunton,VA,Private,Division III,South,0.259128,0.986
University of Mary Washington,Fredericksburg,VA,Public,Division III,South,0.540026,3.037
Marymount University,Arlington,VA,Private,Division III,South,0.437231,1.695
Norfolk State University,Norfolk,VA,Public,Division I,South,3.923826,4.898
Old Dominion University,Norfolk,VA,Public,Division I,South,7.390117,13.567
Radford University,Radford,VA,Public,Division I,South,3.350241,5.16
Randolph-Macon College,Ashland,VA,Private,Division III,South,0.662009,1.455
Randolph College,Lynchburg,VA,Private,Division III,South,0.330882,0.52
University of Richmond,University of Richmond,VA,Private,Division I,South,10.414969,2.897
Roanoke College,Salem,VA,Private,Division III,South,0.369196,1.76
Shenandoah University,Winchester,VA,Private,Division III,South,0.38071,2.051
Southern Virginia University,Buena Vista,VA,Private,Division III,South,0.338295,0.931
University of Virginia's College at Wise,Wise,VA,Public,Division II,South,0.793247,0.827
Virginia Polytechnic Institute and State University,Blacksburg,VA,Public,Division I,South,16.805635,29.582
Virginia Commonwealth University,Richmond,VA,Public,Division I,South,12.570753,18.537
University of Virginia-Main Campus,Charlottesville,VA,Public,Division I,South,19.291025,16.721
Virginia Military Institute,Lexington,VA,Public,Division I,South,2.180229,1.56
Virginia State University,Petersburg,VA,Public,Division II,South,1.778239,4.578
Virginia Union University,Richmond,VA,Private,Division II,South,1.063727,1.029
Virginia Wesleyan University,Virginia Beach,VA,Private,Division III,South,0.547322,1.155
Washington and Lee University,Lexington,VA,Private,Division III,South,0.494789,1.884
Central Washington University,Ellensburg,WA,Public,Division II,West,1.295075,6.979
Eastern Washington University,Cheney,WA,Public,Division I,West,3.914189,5.873
Gonzaga University,Spokane,WA,Private,Division I,West,18.870992,5.04
Pacific Lutheran University,Tacoma,WA,Private,Division III,West,0.445762,2.301
University of Puget Sound,Tacoma,WA,Private,Division III,West,0.420485,1.617
Saint Martin's University,Lacey,WA,Private,Division II,West,1.689899,1.18
Seattle Pacific University,Seattle,WA,Private,Division II,West,1.513495,2.006
Seattle University,Seattle,WA,Private,Division I,West,4.935336,3.987
Washington State University,Pullman,WA,Public,Division I,West,9.223193,19.247
University of Washington-Seattle Campus,Seattle,WA,Public,Division I,West,25.079412,29.653
Western Washington University,Bellingham,WA,Public,Division II,West,1.921416,12.247
Whitman College,Walla Walla,WA,Private,Division III,West,0.684293,1.497
Whitworth University,Spokane,WA,Private,Division III,West,0.621591,1.89
Bethany College,Bethany,WV,Private,Division III,South,0.268492,0.639
Bluefield State University,Bluefield,WV,Public,Division II,South,0.745275,0.925
University of Charleston,Charleston,WV,Private,Division II,South,1.189751,1.151
Concord University,Athens,WV,Public,Division II,South,0.83684,1.334
Davis & Elkins College,Elkins,WV,Private,Division II,South,0.860448,0.672
Fairmont State University,Fairmont,WV,Public,Division II,South,1.237479,2.336
Glenville State University,Glenville,WV,Public,Division II,South,0.848341,0.932
Marshall University,Huntington,WV,Public,Division I,South,6.806743,6.538
Shepherd University,Shepherdstown,WV,Public,Division II,South,0.705189,2.154
West Virginia State University,Institute,WV,Public,Division II,South,0.855446,1.214
West Liberty University,West Liberty,WV,Public,Division II,South,1.037525,1.506
West Virginia Wesleyan College,Buckhannon,WV,Private,Division II,South,0.587804,0.906
West Virginia University,Morgantown,WV,Public,Division I,South,15.661872,17.05
Wheeling University,Wheeling,WV,Private,Division II,South,0.676654,0.56
Alverno College,Milwaukee,WI,Private,Division III,North Central,0.087593,0.61
Beloit College,Beloit,WI,Private,Division III,North Central,0.209098,0.894
Carroll University,Waukesha,WI,Private,Division III,North Central,0.477494,2.424
Carthage College,Kenosha,WI,Private,Division III,North Central,0.335541,2.6
Concordia University-Wisconsin,Mequon,WI,Private,Division III,North Central,0.336042,1.926
Edgewood College,Madison,WI,Private,Division III,North Central,0.278051,1.028
Lakeland University,Plymouth,WI,Private,Division III,North Central,0.413887,0.73
Lawrence University,Appleton,WI,Private,Division III,North Central,0.376781,1.379
Maranatha Baptist University,Watertown,WI,Private,Division III,North Central,0.11055,0.429
Marian University,Fond Du Lac,WI,Private,Division III,North Central,0.273964,0.909
Marquette University,Milwaukee,WI,Private,Division I,North Central,26.236199,7.123
Milwaukee School of Engineering,Milwaukee,WI,Private,Division III,North Central,0.236287,2.544
Northland College,Ashland,WI,Private,Division III,North Central,0.206527,0.449
Ripon College,Ripon,WI,Private,Division III,North Central,0.295011,0.72
Saint Norbert College,De Pere,WI,Private,Division III,North Central,0.406449,1.742
University of Wisconsin-Whitewater,Whitewater,WI,Public,Division III,North Central,0.50061,8.295
University of Wisconsin-Eau Claire,Eau Claire,WI,Public,Division III,North Central,0.679448,8.418
University of Wisconsin-Green Bay,Green Bay,WI,Public,Division I,North Central,4.346278,4.833
University of Wisconsin-La Crosse,La Crosse,WI,Public,Division III,North Central,0.617018,8.812
Wisconsin Lutheran College,Milwaukee,WI,Private,Division III,North Central,0.49017,0.984
University of Wisconsin-Oshkosh,Oshkosh,WI,Public,Division III,North Central,0.635084,6.548
University of Wisconsin-Parkside,Kenosha,WI,Public,Division II,North Central,0.934019,2.442
University of Wisconsin-Superior,Superior,WI,Public,Division III,North Central,0.247685,1.518
University of Wisconsin-Madison,Madison,WI,Public,Division I,North Central,16.689411,34.001
University of Wisconsin-Milwaukee,Milwaukee,WI,Public,Division I,North Central,4.33272,14.666
University of Wisconsin-Platteville,Platteville,WI,Public,Division III,North Central,0.817045,5.414
University of Wisconsin-River Falls,River Falls,WI,Public,Division III,North Central,0.315806,3.826
University of Wisconsin-Stevens Point,Stevens Point,WI,Public,Division III,North Central,0.503146,6.415
University of Wyoming,Laramie,WY,Public,Division I,West,6.782639,6.85
Stanford University,Stanford,CA,Private,Division I,West,19.829901,7.841
Purdue University-Main Campus,West Lafayette,IN,Public,Division I,North Central,17.685475,37.671
Pennsylvania College of Technology,Williamsport,PA,Public,Division III,Northeast,0.301435,3.517
California State University-San Marcos,San Marcos,CA,Public,Division II,West,1.177948,11.826
California State University-Monterey Bay,Seaside,CA,Public,Division II,West,1.069418,5.161
Florida Gulf Coast University,Fort Myers,FL,Public,Division I,South,4.882205,11.166
Augusta University,Augusta,GA,Public,Division II,South,0.885895,4.517
University of North Georgia,Dahlonega,GA,Public,Division II,South,1.194595,11.556
Kennesaw State University,Kennesaw,GA,Public,Division I,South,4.343703,29.984
Husson University,Bangor,ME,Private,Division III,Northeast,0.381057,1.982
Purdue University Northwest,Hammond,IN,Public,Division II,North Central,0.882835,4.622
Commonwealth University of Pennsylvania,Bloomsburg,PA,Public,Division II,Northeast,1.949391,8.718
Pennsylvania Western University,California,PA,Public,Division II,Northeast,2.821802,6.985
