"","survey","nDetections","sppRichness","sppShannonDiv","sppShannonEven","sppSimpsonDiv","funRich","funDiverg","funEve","city","year","prcnt_park_area","park_EIratio","park_clumpy","effort","Pop.Dens","regional.C","average forage","forage generalist","forage specialist","average diet","diet generalist","diet specialist","average clutch","large clutch","small clutch","average mass","large mass","average range","large range","small range"
"1","DC1910",1445,48,2.83632233348987,0.732672451132854,0.905034183019839,17.5850169843745,0.724965411948764,0.497985072905945,"DC",-1.86861297691516,-1.68800104432696,-1.11474047090282,1.49614644492353,-1.54295268335775,-2.04958566130068,-0.0845377379744743,942,93,410,1273,137,35,1322,42,81,1444,1,1252,110,83
"2","DC1915",10928,69,2.05042954728337,0.484264990750014,0.678114814202478,23.7427511667567,0.922094192612097,0.485429369574493,"DC",-1.7065394023868,-1.65138029681094,-1.34195452227863,1.40740075812784,-1.47459252308021,-1.65961480307586,-0.35992200177538,4275,296,6357,9029,1591,308,3208,7539,181,10896,32,10271,276,381
"3","DC1920",6465,48,1.06942157993102,0.276250594303347,0.381821564028809,20.738429446502,0.723901143359504,0.566776564615668,"DC",-1.54446582785845,-1.43843406187613,-0.300231915109476,1.17577556949928,-1.54697386925642,-1.26964394485104,0.0573348817520676,6316,52,97,6285,126,54,504,5807,154,6460,5,6116,242,107
"4","DC1935",12869,62,1.78299745541474,0.432018269595371,0.620916569747374,23.0412134882278,0.947519429557855,0.353898523119951,"DC",-1.05824510427338,-0.475058198339616,0.748626105241461,-0.0805739105549713,-1.51882556796567,-0.263362266425943,-0.0662724128345637,12251,338,280,4302,8487,80,9278,2637,954,12860,9,2251,9893,725
"5","DC1945",88828,101,2.11651606447544,0.458604722618177,0.664041426500718,32.2699964868812,0.907137393624654,0.322884667828753,"DC",-0.734097955216671,0.436502719332607,1.80597262486107,-0.535415758365629,-0.734694317723311,0.891182449504372,0.321605461926097,82314,3731,2783,31041,56604,1183,75099,5958,7771,88714,114,25658,58696,4474
"6","DC1950",175439,119,2.16860709351484,0.453766699404315,0.669610574927113,36.6991931450976,0.903207914412938,0.282179072378801,"DC",-0.572024380688316,1.1359362510828,-1.4725004016678,0.405406676851466,-0.412999445829009,1.40046750291103,0.227987389931877,162266,5915,7258,58177,115070,2192,145479,14250,15710,175269,170,58467,111618,5354
"7","DC1955",232288,124,2.22560049333909,0.461715869301036,0.701096062819958,50.257029727125,0.901547115893198,0.278282555211595,"DC",-0.409950806159961,0.196579958587857,-0.191340333128087,0.368556564912978,-0.421041817626366,1.26051270259677,-0.0204820094721255,209148,7701,15439,82603,146603,3082,176447,22047,33794,232060,228,83511,137183,11594
"8","DC1965",220185,122,2.02897344583854,0.42234899201013,0.655574595349133,39.2866987146669,0.939939318407369,0.281768866265547,"DC",-0.08580365710325,0.860621016341198,0.631627230041294,-0.8237636485047,-0.139558804718852,1.09387194695076,-0.219222414436561,188630,7622,23933,76545,141954,1686,173303,25079,21803,220034,151,74718,136991,8476
"9","DC1975",201651,127,2.84269402540747,0.586825813014926,0.848804276899716,64.3274841893926,0.881417884602044,0.229430880555232,"DC",0.238343491953461,0.745663713269149,-1.29996356343292,0.325638864573648,0.540021612157862,0.633887072274443,-0.373254894945613,178537,9444,13670,101010,99174,1467,142424,19298,39929,200973,678,93699,99259,8693
"10","DC1980",201423,131,2.88669927198901,0.592119473452111,0.866363617256117,63.783435938291,0.84327224089283,0.279910618499122,"DC",0.400417066481816,0.444281784954024,-0.54211890059198,-0.0588267988324867,0.837589368660092,0.200588152929884,-0.0929393059259565,183385,11668,6370,94866,104626,1931,147782,11187,42454,200099,1324,97027,94865,9531
"11","DC1985",179670,137,3.26104106045597,0.662815793316735,0.925587524054825,65.0009848448763,0.868529449082299,0.287628472411428,"DC",0.562490641010171,0.122337648095739,0.780666550733193,0.147980713789384,0.411343663400141,0.0854921548586655,-0.0688284069093135,158874,8643,12153,96947,81348,1375,96653,26329,56688,174137,5533,112158,54531,12981
"12","DC1990",229938,133,2.66786390225726,0.545536490812336,0.851336727011645,65.7368412215735,0.904254006862584,0.311417368523195,"DC",0.724564215538527,0.254263322377076,-0.800547442027818,0.319540947736353,0.326898759527887,-0.029603843212552,0.118978771158467,219196,8377,2365,100332,128968,638,98952,9155,121831,222770,7168,134387,56550,39001
"13","DC1995",187467,147,3.1609236966783,0.633396732991166,0.916729538608976,67.6624607416741,0.859439475155147,0.285354094322456,"DC",0.886637790066882,0.219052814827505,0.0151258264290113,0.0264627295027303,0.439491964690893,-0.15717867440268,0.221167252258021,175159,7690,4618,98498,87984,985,96513,16258,74696,172643,14824,122640,40728,24099
"14","DC2000",184757,139,3.01345773079734,0.610694832242319,0.904737085860322,44.5226509400765,0.857700242757373,0.296309736777734,"DC",1.04871136459524,0.0798484826547839,1.1518775320516,-2.2531978519062,0.729017349395765,-0.284753505592808,-0.109911730652697,173700,6817,4240,97931,85850,976,104136,17530,63091,157825,26932,127387,43679,13691
"15","DC2005",210487,128,3.05467804447602,0.62956698089685,0.918756937129603,62.8547715955659,0.82158936134417,0.258250650012718,"DC",1.21078493912359,0.394559453233506,0.958777732624538,-0.32314689182663,1.00245799050592,-0.163103190830613,0.0570091392438596,197248,8333,4906,130864,78620,1003,150428,12248,47811,179326,31161,149006,50989,10492
"16","DC2010",166463,122,3.24030086183214,0.674497640967778,0.936098421922382,59.772489818092,0.773580559953724,0.271073099082984,"DC",1.37285851365195,0.0696128699950246,0.0902252188693883,-0.479410049794725,1.43674606756323,-0.0414528760684187,-0.00721003848356215,147929,10829,7705,111789,53184,1490,123638,11609,31216,140851,25612,124189,34244,8030
"17","DC2015",165122,131,3.14820223533834,0.645758935819067,0.927093514719468,74.6848279427163,0.77345417626421,0.238393465535018,"DC",1.5349320881803,0.293613566602372,0.880498728287987,-1.11857436013187,2.0680722536558,0.352296783734665,0.398498057139858,151259,9240,4623,104159,59276,1687,126927,10346,27849,136830,28292,121386,37391,6345
"18","MN1940",2665,38,1.87560514534682,0.515618067308651,0.705409361150907,16.0393398290481,0.768814178902902,0.340998276988053,"MN",-1.21555180896267,-0.626365689803819,-0.52119224623881,0.600476183934892,-0.656207273840643,0.565133140943568,0.206211105914648,2328,238,99,2147,501,17,2513,148,4,2664,1,973,1692,0
"19","MN1945",6086,49,2.05851790084283,0.528934468490794,0.742620748999255,24.2202169400628,0.768608114504551,0.343951384353697,"MN",-1.05347823443431,-0.389907306864895,-0.305928139916045,0.460972723568405,-0.40287256222388,0.693362480699725,-0.197781044828264,5508,323,255,4959,1099,28,5552,436,98,6085,1,2184,3902,0
"20","MN1950",11434,60,2.46169563877998,0.601242909913757,0.85157683299663,27.9400600888771,0.695248292027917,0.369041355285159,"MN",-0.891404659905954,-0.305768075102882,0.445323354260292,-0.198195140661698,-0.378745446831807,0.821591820455881,-0.000577304519061743,10412,496,526,9038,2296,100,10277,1080,77,11355,79,5829,5605,0
"21","MN1955",24791,63,2.12637638228789,0.513228876855727,0.742077001601974,18.6064540981924,0.766349905392583,0.338411797335192,"MN",-0.729331085377599,0.0226463456456221,-0.56039266979896,0.476449090372957,-0.346575959642377,0.651863153011161,0.0603701422139786,22148,1122,1521,18835,5880,76,20516,4034,241,24779,12,7820,16971,0
"22","MN1960",7943,54,2.14151647574076,0.536857618567129,0.767543498782216,16.4067584271558,0.74368554050311,0.43100479495126,"MN",-0.567257510849244,-0.00786091129002351,0.0386253509825732,-0.240653036301602,-0.354618331439735,0.482134485566441,-0.260101354542807,7186,360,397,6258,1665,20,7449,472,22,7911,32,3096,4847,0
"23","MN1965",20383,64,2.35238441461988,0.565628888206098,0.825104248008677,19.3831582432519,0.85551298384439,0.398329890824117,"MN",-0.405183936320888,0.0134724552147964,-0.498047192692044,1.09818941301408,-0.362660703237092,0.2703472238566,-0.234869634208167,17353,1046,1984,14365,6008,10,17850,2433,100,20318,65,6174,14188,21
"24","MN1970",43768,75,2.35050459805918,0.544414839427077,0.845793464558361,21.0849836644455,0.834445045575365,0.35507943432019,"MN",-0.243110361792533,0.0855607776534764,-0.53194656462004,0.657974737177457,-0.165622594201832,0.0585599621467594,-0.246622944803514,40489,1111,2168,24028,19734,6,30465,10481,2822,43765,3,9644,33847,277
"25","MN1975",30039,59,2.28096123863116,0.559396760915164,0.827752830405329,27.629552455565,0.893243020790237,0.401386540522449,"MN",-0.0810367872641777,0.56140884579916,-0.531515227087312,1.1261878483992,-0.262131055770123,-0.218665858290353,-0.449448221882751,28612,783,644,13499,16537,3,14847,11986,3206,29879,160,6795,23018,226
"26","MN1980",62990,72,2.37363542243256,0.555020045141769,0.847265083718563,25.5797145710245,0.861289422637842,0.347360600358987,"MN",0.0810367872641777,-0.120498915100461,0.0283076167379142,-0.157957644724144,0.413428175207912,-0.495891678727464,-0.0374881711145737,60332,1782,876,33125,29859,6,30975,21688,10327,62194,796,15834,46670,486
"27","MN1985",48250,70,2.27775825269524,0.536132941882855,0.825630061048619,30.4930640637132,0.895019433976428,0.298959392218017,"MN",0.243110361792533,0.155912032081586,-0.453943056644848,0.399575976832836,0.0233731430360704,-0.507050794637824,0.170950696057554,47253,846,151,22392,25857,1,23659,18373,6218,47051,1199,12505,35422,323
"28","MN1990",72665,75,2.22785971653521,0.516008303427717,0.835770912921806,39.8264914629397,0.844613614296335,0.397516756654059,"MN",0.405183936320888,-0.103345368496077,0.0190526916058462,-0.178635269816744,0.152051091793791,-0.518209910548183,0.108322039892267,71293,1288,84,37941,34677,47,32177,22745,17743,68960,3705,16427,54866,1372
"29","MN1995",117337,76,2.10597460564859,0.486285910531114,0.796207977846384,46.3849467402457,0.862847225475134,0.272160686351432,"MN",0.567257510849244,0.0352400887222595,0.523796958511148,-0.52114096881039,0.248559553362082,-0.4560745200387,0.37157718483462,115688,1345,304,54696,62626,15,51194,46741,19402,101729,15608,38611,78465,261
"30","MN2000",96933,75,2.27310605904337,0.526488087347979,0.840469546423277,52.8328494769958,0.869075348037265,0.339389326710007,"MN",0.729331085377599,0.0836608595169149,0.159078784758996,-0.562319962776081,0.437555290599985,-0.393939129529217,0.31712609800885,95459,1316,158,47542,49379,12,49912,31029,15992,82434,14499,38148,58500,285
"31","MN2005",88733,80,2.3615087258972,0.538907889607784,0.851040856697865,73.6766777361365,0.843718904590111,0.372871147481934,"MN",0.891404659905954,0.111345380935384,0.503640531003246,-0.784852644390735,0.61850865604053,-0.391929265269717,-0.0452681450562318,86698,1835,200,48626,40076,31,44619,27079,17035,78860,9873,30248,58309,176
"32","MN2010",62797,79,2.63336766289059,0.602677443879727,0.889726777212593,71.5311790165579,0.852881402165407,0.399254401387711,"MN",1.05347823443431,0.230117406158149,0.825356997765011,-1.05743171583361,0.461682405992057,-0.389919401010215,-0.0806736486146466,60631,1788,378,35805,26924,68,35796,16723,10278,57891,4906,26501,36025,271
"33","MN2015",53335,82,2.58999853748036,0.58773849481976,0.888102796145453,68.0117408662111,0.836448432749838,0.39045513821472,"MN",1.21555180896267,0.254382074930807,0.859782811373032,-1.1186395899848,0.574275611155063,-0.17131170862846,0.318273202648096,50910,1953,472,31031,22293,11,31066,12719,9550,48041,5294,25008,27970,357
"34","PA1910",379,11,1.87352954277475,0.781322505627331,0.79673630787867,0.84141330040039,0.869985899283898,0.474768015782521,"PA",-1.70177253254773,-0.628728270479348,-0.806707997162065,0.77607064028489,-1.18040084243943,0.182090588459452,0.0735998507734103,260,119,0,379,0,0,379,0,0,379,0,379,0,0
"35","PA1915",189,10,1.66880468021495,0.724752663991675,0.747683435514123,0.556324381070203,0.779556826049098,0.482258409609427,"PA",-1.53969895801938,-0.543500676663081,-0.193090705891552,0.122301582705719,-1.19246440013547,0.416221051109419,-0.192140653039407,133,56,0,189,0,0,189,0,0,189,0,189,0,0
"36","PA1920",791,28,2.1733442312403,0.652224143087193,0.781017803001849,9.259654876097,0.496591249704504,0.388980259402615,"PA",-1.37762538349102,-0.530150489661786,-0.277264516399332,0.235668615928134,-1.15627372704736,0.650351513759387,0.284506547998304,643,109,39,766,5,20,736,48,7,791,0,770,21,0
"37","PA1925",533,20,1.99772749144659,0.666857819399391,0.770427577273319,6.53356029990548,0.542726835565269,0.47264026053345,"PA",-1.21555180896267,-0.300100067255472,-0.125594720527515,0.351866288338978,-1.18442202833811,1.00076014952748,0.124973004382002,402,115,16,522,4,7,507,22,4,533,0,527,4,2
"38","PA1930",490,18,2.00692358951453,0.694347910102513,0.805156184922949,3.41874346727776,0.867286873256302,0.568092048063203,"PA",-1.05347823443431,0.0453493715900353,0.182397553119172,-0.0538658579874834,-1.18844321423679,1.35116878529558,0.3552700837445,393,97,0,431,59,0,490,0,0,490,0,434,56,0
"39","PA1935",3464,22,2.14427092971063,0.693704781498859,0.842979788147571,7.15869098280692,0.718067890622596,0.29670448752187,"PA",-0.891404659905954,0.00647362704226435,-0.61558047208214,0.48653899550468,-1.04368052188436,1.35909097773838,-0.00436123249054802,2586,761,117,2972,487,5,3342,121,1,3464,0,1959,1505,0
"40","PA1940",4513,24,1.84022207259252,0.579040560930665,0.708009542219638,9.5568869183997,0.857155921678304,0.304251015031322,"PA",-0.729331085377599,-0.115066475417525,-0.466123074217032,0.401792663241808,-1.01151103469493,1.36701317018118,0.00588083270014006,3836,564,113,2177,2319,17,4383,129,1,4513,0,1632,2881,0
"41","PA1945",5946,31,2.06466822214509,0.601245170467851,0.78499567075764,11.8292811215435,0.845739021064234,0.246731824582945,"PA",-0.567257510849244,-0.0909827380671884,0.312094535487764,0.187342681651157,-0.56918058584026,1.38914971985713,0.313690798716553,5039,733,174,3400,2535,11,5639,304,3,5946,0,2326,3620,0
"42","PA1950",3278,39,2.55990247075262,0.698746934818749,0.891298731611003,13.6293249372412,0.716510198470327,0.421545077393366,"PA",-0.405183936320888,-0.122435778642239,0.0801380289201977,0.0938018193995335,-1.02357459239096,1.41128626953308,0.266772596645253,2732,484,62,2579,681,18,3139,138,1,3278,0,1952,1326,0
"43","PA1955",10392,56,2.66384845203766,0.661767879355447,0.902328529199639,30.1201509884324,0.75651262561586,0.309781146275533,"PA",-0.243110361792533,0.00300257842192757,-0.491744874694659,0.435584009217903,-0.794366996166272,1.09958541443014,-0.00291723135928248,8740,1440,212,7503,2856,33,8636,1727,29,10389,3,5386,5004,2
"44","PA1960",26855,74,2.72378857526937,0.632840934392476,0.891906121543872,27.7464197652542,0.813351419393769,0.31903021732411,"PA",-0.0810367872641777,-0.225766226032262,-0.6491691265744,0.587155375906118,-0.476693310170648,0.787884559327202,-0.439415668993588,22414,3793,648,18232,8535,88,23214,3339,302,26728,127,13623,13230,2
"45","PA1965",71079,97,2.25718720714718,0.493405423370729,0.761816213691692,52.0986846430336,0.883393784329118,0.34875064346649,"PA",0.0810367872641777,0.277322220924536,1.10479247602075,-1.18140323054201,-0.275634015236709,0.425566829707795,-0.317753719257483,62676,7093,1310,33495,37453,131,65575,4911,593,70927,152,26786,44278,15
"46","PA1970",120433,98,2.35742622839715,0.514164220218351,0.777616915798079,51.8041702538277,0.862978803065144,0.307170955010426,"PA",0.243110361792533,0.0330671995488439,-0.40055430039945,0.142553640209628,0.48437011961358,0.0632491000883883,0.142741348944369,106420,12684,1329,59616,60160,657,112015,4255,4163,120099,334,51525,68902,6
"47","PA1975",96652,96,2.84598423519914,0.623524787289268,0.906557916919663,48.9523797481865,0.785126210950952,0.277648524063228,"PA",0.405183936320888,-0.111809029789209,0.181397621260092,0.0702226144145798,1.75506486359607,-0.350283324215537,-0.616785895580416,83199,12645,808,68217,28207,228,80800,3832,12020,95958,694,54460,42187,5
"48","PA1980",143603,101,2.69698319299587,0.584379797483984,0.874673236244462,53.3577730612809,0.799634992533733,0.329671526957853,"PA",0.567257510849244,-0.119178333013923,-0.369948526830458,0.299117900050436,1.67866233152118,-0.763815748519462,-0.200565449785153,130599,12381,623,93341,50099,163,127523,3361,12719,141791,1812,83194,60375,34
"49","PA1985",108661,88,2.96879552078515,0.663071741930396,0.927560904616298,50.2429866964959,0.747876962748577,0.30090282403164,"PA",0.729331085377599,-0.0587820870200651,-0.31577349017297,0.254687147028369,0.966912427455034,-0.995959211761952,-0.0637993737017971,96455,11814,392,79444,28908,309,88892,7005,12764,106410,2251,69755,38522,384
"50","PA1990",93206,83,2.95449570700433,0.668613323999835,0.927510698374044,35.5556575024918,0.775185142842701,0.271775517364179,"PA",0.891404659905954,-0.285895468286094,-0.564587575838314,0.590158069599838,0.745747203027701,-1.22810267500444,0.0719819598936268,82921,9866,419,61303,31718,185,66737,11163,15306,89759,3447,52502,40283,421
"51","PA1995",92794,85,3.03804940567258,0.683837022146239,0.935418936818724,38.974269034671,0.803806479574094,0.234944259240573,"PA",1.05347823443431,0.273370565572153,-0.41911018636083,0.182370413566391,0.97897598515107,-1.38034897808953,0.272210228553953,83112,9243,439,59324,33308,162,63279,9273,20242,87901,4893,53940,37376,1478
"52","PA2000",106039,83,2.71398557647959,0.614184990445465,0.877238376363889,42.8087951317212,0.874432312173439,0.351758464893474,"PA",1.21555180896267,0.0967742919190232,-0.263864257672497,-0.0548761599298994,0.576857395283192,-1.53259528117463,-0.115579360198051,96995,8647,397,48489,57248,302,84571,6223,15245,100242,5797,72742,32241,1056
"53","PA2005",113308,84,2.57813070161645,0.581863529606885,0.835914969890996,53.9814322426934,0.871549615307359,0.273801541656621,"PA",1.37762538349102,0.402012967516631,1.59621996176848,-0.977240858822068,0.74976838892638,-1.65823213548468,-0.0920544044334644,104482,8137,689,48809,64306,193,94516,5590,13202,106667,6641,84203,27851,1254
"54","PA2010",173462,96,1.8234778286281,0.39950454087546,0.617677329014752,62.497931367118,0.944945713290296,0.252362084787227,"PA",1.53969895801938,1.09777131327612,0.373584053059093,-1.09433757172642,1.12775986340218,-1.78386898979474,-0.154565433169333,165310,7384,768,42855,130203,404,160488,4441,8533,167307,6155,144155,28358,949
"55","PA2015",153809,95,2.23592061989944,0.490992767947574,0.729273190615714,53.597822482907,0.912587641078718,0.326451080164506,"PA",1.70177253254773,0.897251504516667,2.12848959518767,-1.8555087780403,2.03252669060491,-1.81021178496964,0.288311169656411,144090,8784,935,53217,100057,535,135797,4850,13162,146846,6963,130401,22381,1027
