Student.ID,Grade,Gender,Race,Ethnicity.Hispanic.Y.N,ELL,Sped,Homeless,Free.Lunch,Migrant,Current.GPA,Number.of.Classes.Enrolled.in.for.the.school.year,Tracking.Pathway
3955,12,F,C,Hispanic,Y,Y,N,Y,N,3.455,7,NA
7008,11,M,C,Hispanic,Y,Y,N,Y,N,1.688,7,NA
7791,11,M,C,Hispanic,Y,N,N,Y,N,2.233,7,NA
5954,10,M,C,Hispanic,Y,Y,N,Y,N,0.905,7,NA
2881,11,M,C,Hispanic,N,N,N,Y,N,3.367,7,NA
8963,12,M,C,Hispanic,N,Y,N,Y,N,2.988,7,NA
9478,12,M,C,Hispanic,N,N,N,Y,N,1.452,7,NA
8268,12,M,C,Hispanic,N,N,N,Y,N,2.957,7,y
6188,12,M,C,Hispanic,Y,N,N,Y,N,1.696,7,NA
9846,12,F,C,Hispanic,N,N,Y,Y,N,2.955,7,NA
3405,12,M,C,Hispanic,Y,Y,N,Y,N,3.071,7,NA
2230,12,M,C,Hispanic,N,N,N,Y,N,1.42,7,NA
7860,12,M,C,Hispanic,N,N,N,Y,N,1.932,7,NA
5727,12,M,C,Hispanic,N,Y,N,Y,N,1.614,7,NA
5026,12,F,C,Hispanic,Y,Y,N,Y,N,2.935,7,NA
5273,12,M,C,Non Hispanic,N,N,N,Y,N,3.196,7,NA
2886,12,M,C,Hispanic,Y,Y,N,Y,N,3.25,7,NA
8460,12,M,C,Hispanic,N,N,N,Y,N,1.523,7,NA
1331,12,M,C,Hispanic,N,Y,N,Y,N,2.457,7,NA
7778,12,M,C,Hispanic,N,N,N,Y,N,3.409,7,NA
2272,12,F,C,Hispanic,N,N,N,Y,N,3,7,NA
8541,11,M,C,Hispanic,N,Y,N,Y,N,2.5,7,NA
6065,12,M,C,Hispanic,Y,Y,N,Y,N,1.636,7,NA
6385,11,M,C,Hispanic,Y,Y,N,Y,N,3.077,7,NA
2063,11,M,C,Hispanic,N,Y,N,Y,N,1.7,7,NA
3851,12,M,C,Hispanic,N,N,N,Y,N,0.87,7,NA
8596,12,M,C,Hispanic,Y,Y,N,Y,N,2.295,7,NA
4235,11,M,C,Hispanic,N,Y,N,Y,N,1.667,7,NA
7555,11,M,C,Hispanic,N,Y,N,Y,N,1.867,7,y
4262,11,M,C,Hispanic,Y,Y,N,Y,N,2.867,7,NA
9138,12,F,C,Hispanic,Y,Y,N,Y,N,3.295,7,NA
7498,12,M,C,Hispanic,N,Y,N,Y,N,3.205,7,NA
9886,12,M,C,Hispanic,Y,Y,N,Y,N,1.467,7,NA
8564,12,M,C,Hispanic,N,N,N,Y,N,3.86,7,NA
9603,11,M,C,Hispanic,N,N,N,Y,N,2,7,NA
535,12,M,C,Hispanic,Y,Y,N,Y,N,1.295,7,NA
3661,12,M,C,Hispanic,N,Y,N,Y,N,2.864,7,NA
6354,10,M,C,Hispanic,N,Y,N,Y,N,2.25,7,NA
799,11,F,C,Hispanic,N,N,N,Y,N,2.094,7,NA
4805,12,F,C,Hispanic,Y,Y,N,Y,N,2.761,7,NA
1219,12,M,C,Hispanic,N,N,N,Y,N,3.091,7,NA
6967,12,M,C,Hispanic,N,N,N,Y,N,2.909,7,NA
7571,12,M,C,Hispanic,Y,Y,N,Y,N,2.8,7,NA
2166,12,F,C,Hispanic,Y,Y,N,Y,N,1.273,7,NA
9122,12,M,C,Hispanic,N,N,N,Y,N,1.432,7,NA
8187,12,F,C,Hispanic,N,N,N,Y,N,2.273,7,y
5899,12,F,C,Hispanic,Y,N,N,Y,N,1.645,7,NA
9623,11,M,C,Hispanic,N,N,N,Y,N,2.063,7,y
3995,12,M,C,Hispanic,N,N,N,Y,N,1.191,7,NA
7490,12,F,C,Hispanic,N,N,N,Y,N,3.151,7,NA
2727,11,M,C,Hispanic,N,Y,N,Y,N,1.875,7,NA
712,10,M,C,Hispanic,N,Y,N,Y,N,1.875,7,NA
6812,12,F,C,Hispanic,Y,N,N,Y,N,1.534,7,NA
4823,12,M,C,Hispanic,Y,Y,N,Y,N,2.6,7,NA
5017,12,F,C,Hispanic,N,N,N,Y,N,3.348,7,NA
3914,12,F,C,Hispanic,N,Y,N,Y,N,3.205,7,NA
6925,12,M,C,Hispanic,N,Y,N,Y,N,2.565,7,NA
9689,11,M,C,Hispanic,N,Y,N,Y,N,2.433,7,NA
9954,11,M,C,Hispanic,Y,Y,N,Y,N,2.033,7,NA
4754,12,M,C,Hispanic,N,N,N,Y,N,1.767,7,y
2039,12,M,C,Hispanic,Y,N,N,Y,N,1.639,7,NA
1431,11,F,C,Hispanic,N,N,N,Y,N,1.467,7,NA
9189,11,F,C,Hispanic,N,Y,N,Y,N,2.2,7,NA
4342,12,M,C,Hispanic,Y,N,N,Y,N,1.644,7,y
5433,11,M,C,Hispanic,N,N,N,Y,N,3.765,7,NA
1379,11,M,C,Hispanic,Y,Y,N,Y,N,1.097,7,NA
6104,12,F,C,Hispanic,N,Y,N,Y,N,2.318,7,NA
9094,11,M,C,Hispanic,Y,Y,N,Y,N,1.871,7,y
6767,12,M,C,Hispanic,Y,Y,N,Y,N,1.674,7,NA
1591,10,F,C,Hispanic,Y,Y,N,Y,N,1.625,7,y
462,11,F,C,Hispanic,Y,Y,N,Y,N,2.333,7,NA
3477,10,M,C,Hispanic,Y,Y,N,Y,N,3,7,NA
9219,12,M,C,Hispanic,Y,Y,N,Y,N,2.744,7,NA
6660,11,M,C,Hispanic,N,N,N,Y,N,2.933,7,NA
4246,10,M,C,Hispanic,N,N,N,Y,N,2.063,7,NA
4867,10,F,C,Hispanic,N,N,N,Y,N,3.188,7,NA
9367,10,M,C,Hispanic,N,N,N,Y,N,3,7,NA
2721,12,M,C,Hispanic,N,Y,N,Y,N,2,7,NA
4160,12,M,C,Hispanic,N,N,N,Y,N,4,7,NA
9429,10,M,C,Hispanic,N,N,N,Y,N,1.625,7,NA
5658,10,M,C,Hispanic,Y,Y,N,Y,N,2.5,7,NA
8350,12,M,C,Hispanic,N,N,N,Y,N,3.423,7,NA
3885,12,M,C,Hispanic,N,N,N,Y,N,4.037,7,NA
3872,10,M,C,Hispanic,Y,Y,N,Y,N,2.313,7,NA
8116,10,F,C,Hispanic,N,N,N,Y,N,1.563,7,NA
3352,12,M,C,Hispanic,N,Y,N,Y,N,3.35,7,NA
8974,10,M,C,Hispanic,N,Y,N,Y,N,1.625,7,NA
7475,12,M,C,Hispanic,Y,Y,N,Y,N,2.364,7,NA
1905,10,M,C,Hispanic,N,N,N,Y,N,2.313,7,NA
3489,10,M,C,Hispanic,N,Y,N,Y,N,2.375,7,NA
3630,9,M,C,Hispanic,Y,Y,N,Y,N,2,7,NA
5992,12,M,C,Hispanic,Y,N,N,Y,N,1.682,7,NA
5395,12,M,C,Hispanic,N,Y,N,Y,N,3.26,7,NA
7092,12,F,C,Hispanic,N,N,N,Y,N,2.083,7,y
2264,12,F,C,Hispanic,N,N,N,Y,N,4.083,7,NA
5501,12,F,C,Hispanic,Y,N,N,Y,N,2.065,7,NA
8857,12,M,C,Hispanic,N,N,N,Y,N,4.1,7,NA
8892,12,M,C,Hispanic,Y,N,N,Y,N,1.174,7,NA
5011,12,M,C,Hispanic,N,N,N,Y,N,2.023,7,NA
5119,12,M,C,Hispanic,N,Y,N,Y,N,2.636,7,NA
7540,12,F,C,Hispanic,N,N,N,Y,N,3.773,7,y
6283,12,M,C,Hispanic,N,N,N,Y,N,2.63,7,NA
2582,12,F,C,Hispanic,N,N,N,Y,N,2.63,7,NA
9216,12,M,C,Hispanic,N,N,N,Y,N,2.909,7,NA
6676,12,F,C,Hispanic,N,N,N,Y,N,2.771,7,NA
6064,12,F,C,Hispanic,N,N,N,Y,N,3.239,7,NA
5235,12,M,C,Hispanic,N,N,N,Y,N,3.271,7,NA
3342,12,F,C,Hispanic,N,N,N,Y,N,3.479,7,y
9610,11,M,C,Hispanic,Y,N,N,Y,N,1.419,7,NA
257,12,M,C,Hispanic,Y,N,N,Y,N,1.34,7,NA
791,12,F,C,Hispanic,Y,N,N,Y,N,2.864,7,NA
4710,12,F,C,Hispanic,N,N,N,Y,N,2.457,7,NA
894,12,M,C,Hispanic,N,N,N,Y,N,2.205,7,NA
3696,12,M,C,Hispanic,N,N,N,Y,N,1.208,7,NA
5371,12,M,C,Hispanic,N,N,N,Y,N,1.438,7,NA
6363,12,F,C,Hispanic,Y,N,N,Y,N,3.136,7,y
529,12,F,C,Hispanic,N,N,N,Y,N,4.32,7,NA
8923,11,F,C,Hispanic,N,N,N,Y,N,2.25,7,NA
6898,12,M,C,Hispanic,N,N,N,Y,N,1.909,7,NA
2761,11,F,C,Hispanic,Y,N,N,Y,N,2.063,7,NA
6846,12,F,C,Hispanic,N,N,N,Y,N,1.889,7,y
4333,12,M,C,Hispanic,N,N,N,Y,N,3.783,7,NA
3333,12,F,C,Hispanic,N,N,N,Y,N,2.174,7,NA
4142,12,F,C,Hispanic,N,N,Y,Y,N,2.152,7,y
9872,12,F,C,Hispanic,Y,N,N,Y,N,3.136,7,NA
5175,12,M,C,Hispanic,N,N,N,Y,N,1.92,7,NA
1377,12,F,C,Hispanic,N,N,N,Y,N,2.205,7,y
9734,12,F,C,Hispanic,Y,N,N,Y,N,3.116,7,NA
1407,12,M,C,Hispanic,N,N,N,Y,N,2.705,7,NA
9680,12,M,C,Hispanic,N,N,N,Y,N,1.432,7,NA
8399,12,F,C,Hispanic,N,N,N,Y,N,2.364,7,NA
1449,12,F,C,Hispanic,N,N,N,Y,N,2.63,7,NA
5611,12,M,C,Hispanic,N,Y,N,Y,N,1.174,7,NA
6867,12,F,C,Hispanic,N,N,N,Y,N,3.913,7,NA
3879,12,F,C,Hispanic,N,N,N,Y,N,1.932,7,NA
6424,11,F,C,Hispanic,Y,Y,N,Y,N,1.633,7,NA
8665,12,F,C,Hispanic,N,N,N,Y,N,2.841,7,NA
5512,12,M,C,Hispanic,N,N,N,Y,N,1.682,7,NA
6489,12,M,C,Hispanic,N,N,N,Y,N,4.08,7,NA
664,12,F,C,Hispanic,N,N,N,Y,N,2.545,7,NA
6674,12,F,C,Hispanic,N,N,N,Y,N,3.455,7,NA
2124,12,F,C,Hispanic,N,N,N,Y,N,2.091,7,y
6821,12,F,C,Hispanic,N,N,N,Y,N,2.896,7,NA
4188,11,F,C,Hispanic,Y,N,N,Y,N,1.912,7,y
5075,12,M,C,Hispanic,N,N,N,Y,N,2.283,7,NA
8296,12,M,C,Hispanic,N,N,N,Y,N,1.244,7,NA
2381,12,F,C,Hispanic,N,N,N,Y,N,3.442,7,NA
8707,12,F,C,Hispanic,N,N,N,Y,N,3.273,7,NA
7503,11,M,C,Hispanic,N,N,N,Y,N,1.1,7,NA
6997,12,M,C,Hispanic,N,N,N,Y,N,3.87,7,NA
3045,11,F,C,Hispanic,Y,N,N,Y,N,1.433,7,NA
6955,11,M,C,Hispanic,N,Y,N,Y,N,0.967,7,NA
1533,12,F,C,Hispanic,N,N,Y,Y,N,3.826,7,y
1985,12,M,C,Hispanic,N,N,N,Y,N,1.583,7,NA
1713,12,M,C,Hispanic,N,N,N,Y,N,1.587,7,NA
3138,12,F,C,Hispanic,N,Y,N,Y,N,2.114,7,NA
9806,12,F,C,Hispanic,N,N,N,Y,N,2.72,7,y
4029,12,F,C,Hispanic,N,N,N,Y,N,3.542,7,y
1677,12,F,C,Hispanic,N,N,N,Y,N,3.958,7,y
4334,12,M,C,Hispanic,N,N,N,Y,N,3.3,7,NA
8574,12,F,C,Hispanic,N,N,N,Y,N,3.76,7,y
7680,12,M,C,Hispanic,N,N,N,Y,N,3.182,7,NA
2506,12,F,C,Hispanic,Y,N,N,Y,N,3,7,NA
4745,12,M,C,Hispanic,N,N,N,Y,N,1.688,7,y
3368,12,M,C,Hispanic,N,N,N,Y,N,2.435,7,NA
8136,12,M,C,Hispanic,N,N,N,Y,Y,1.571,7,NA
1802,12,M,C,Hispanic,N,N,N,Y,N,1.745,7,NA
9635,12,M,C,Hispanic,N,N,N,Y,N,2.196,7,NA
6998,12,F,C,Hispanic,N,N,N,Y,N,2.727,7,NA
4914,11,M,C,Hispanic,N,N,N,Y,N,2.933,7,NA
9671,12,F,C,Hispanic,N,N,N,Y,N,2.864,7,NA
6195,11,M,C,Hispanic,N,Y,N,Y,N,2.767,7,NA
9197,10,F,C,Hispanic,N,N,N,Y,N,3.625,7,y
6367,12,M,C,Hispanic,N,N,N,Y,N,2.813,7,NA
8728,12,F,C,Hispanic,N,N,N,Y,N,1.864,7,NA
2364,12,M,C,Hispanic,N,N,N,Y,N,2.022,7,NA
7976,12,F,C,Hispanic,N,N,N,Y,N,3.136,7,NA
2745,12,M,C,Hispanic,N,N,N,Y,N,1.978,7,NA
2054,12,F,C,Hispanic,N,N,N,Y,N,2.523,7,y
5613,12,M,C,Hispanic,N,N,N,Y,N,2.979,7,NA
2273,11,F,C,Hispanic,N,N,N,Y,N,1.344,7,NA
659,12,F,C,Hispanic,N,N,N,Y,N,2.63,7,NA
9873,11,M,C,Hispanic,N,N,N,Y,N,2.333,7,NA
985,12,M,C,Hispanic,Y,N,N,Y,N,1.957,7,NA
2489,12,M,C,Hispanic,N,N,N,Y,N,1.386,7,NA
1215,12,F,C,Hispanic,N,N,N,Y,N,3.875,7,NA
4422,12,F,C,Hispanic,N,N,N,Y,N,4.286,7,NA
9154,12,F,C,Hispanic,N,N,N,Y,N,2.63,7,NA
2045,12,F,C,Hispanic,N,N,N,Y,N,3.341,7,y
1882,12,F,C,Hispanic,N,N,N,Y,N,2.087,7,NA
4151,12,M,C,Hispanic,N,N,N,Y,N,3.523,7,NA
8566,11,M,C,Hispanic,Y,Y,N,Y,N,2.903,7,NA
980,12,F,C,Hispanic,N,N,N,Y,N,1.523,7,NA
7449,12,M,C,Hispanic,N,N,N,Y,N,3.159,7,NA
7303,12,M,C,Hispanic,N,N,N,Y,N,2.457,7,NA
5059,12,F,C,Hispanic,N,N,N,Y,N,2.955,7,NA
2287,12,F,C,Hispanic,N,N,N,Y,N,3.56,7,NA
602,12,M,C,Hispanic,N,N,N,Y,N,4.296,7,NA
8914,12,F,C,Hispanic,N,N,N,Y,N,3.913,7,y
3375,10,F,C,Hispanic,Y,N,N,Y,N,2.625,7,NA
5248,10,M,C,Hispanic,N,Y,N,Y,N,2.125,7,NA
8442,9,F,C,Hispanic,Y,Y,N,Y,N,1,7,NA
345,9,M,C,Hispanic,N,Y,N,Y,N,2,7,NA
7385,12,M,C,Hispanic,Y,N,N,Y,N,1.739,7,y
7379,12,F,C,Hispanic,N,N,N,Y,N,4.333,7,NA
3019,12,F,C,Hispanic,N,N,N,Y,N,3.766,7,y
1530,12,F,C,Hispanic,N,N,N,Y,N,2.636,7,y
9024,12,F,C,Hispanic,N,N,N,Y,N,4.292,7,NA
7872,12,F,C,Hispanic,N,N,N,Y,N,2.854,7,NA
3024,12,M,C,Hispanic,N,N,N,Y,N,1.935,7,NA
349,12,F,C,Hispanic,N,N,N,Y,N,2.833,7,NA
2177,11,M,C,Hispanic,Y,Y,N,Y,N,2.833,7,NA
8394,12,M,C,Hispanic,N,N,N,Y,N,2.091,7,NA
2515,12,M,C,Hispanic,Y,N,N,Y,N,2.545,7,NA
6825,12,M,C,Hispanic,Y,N,N,Y,N,1.6,7,NA
4645,12,F,C,Hispanic,Y,N,N,Y,N,3.045,7,NA
2346,12,F,C,Hispanic,N,N,N,Y,N,3.292,7,NA
2866,12,F,C,Hispanic,N,Y,N,Y,N,0.622,7,NA
3142,12,M,C,Hispanic,N,N,N,Y,N,2.955,7,y
7951,11,F,C,Hispanic,N,N,N,Y,N,2.5,7,NA
905,12,F,C,Hispanic,N,N,N,Y,N,4,7,NA
4744,12,M,C,Hispanic,N,N,N,Y,N,4.32,7,NA
3648,12,F,C,Hispanic,N,N,N,Y,N,3.583,7,NA
4216,12,M,C,Hispanic,N,N,N,Y,N,3.313,7,NA
9984,12,F,C,Hispanic,N,N,N,Y,N,4.377,7,NA
5274,12,M,C,Hispanic,N,N,N,Y,N,2.182,7,y
6101,12,F,C,Hispanic,Y,N,N,Y,N,2.295,7,NA
4182,12,F,C,Hispanic,N,N,N,Y,N,1.705,7,NA
4709,12,F,C,Hispanic,N,N,N,Y,N,2,7,NA
8330,12,F,C,Hispanic,N,N,N,Y,N,2.023,7,y
7751,10,M,C,Hispanic,Y,N,N,Y,N,1.059,7,NA
5400,9,M,C,Hispanic,Y,Y,N,Y,N,2,7,NA
6717,9,M,C,Hispanic,Y,N,N,Y,N,1.667,7,NA
3247,12,M,C,Hispanic,N,N,N,Y,N,1.841,7,NA
7328,12,M,C,Hispanic,N,N,N,Y,N,2.667,7,NA
1278,12,M,C,Hispanic,N,N,N,Y,N,1.705,7,NA
5997,12,F,C,Hispanic,N,Y,N,Y,N,1.915,7,y
7220,12,M,C,Hispanic,N,N,N,Y,N,2.348,7,NA
6705,12,F,C,Hispanic,N,N,N,Y,N,3.292,7,NA
8326,12,M,C,Hispanic,N,N,N,Y,N,1.477,7,NA
8738,11,M,C,Hispanic,N,Y,N,Y,N,0.967,7,NA
1143,12,M,C,Hispanic,N,N,N,Y,N,3.66,7,NA
1272,12,F,C,Hispanic,N,N,Y,Y,N,3.375,7,NA
2528,12,M,C,Hispanic,N,N,N,Y,N,2.435,7,NA
7477,12,M,C,Hispanic,Y,N,N,Y,N,1.684,7,NA
5529,12,F,C,Non Hispanic,N,N,N,Y,N,2.318,7,NA
3583,12,F,I,Non Hispanic,N,N,N,Y,N,3.727,7,y
1184,12,F,C,Hispanic,N,N,N,Y,N,2.455,7,y
5062,12,M,C,Hispanic,Y,N,N,Y,N,2.386,7,NA
1423,12,F,C,Hispanic,N,N,N,Y,N,2.636,7,NA
7692,12,M,C,Hispanic,Y,Y,N,Y,N,2.283,7,NA
3432,12,F,C,Hispanic,N,N,N,Y,N,4.042,7,NA
6735,11,M,C,Hispanic,Y,N,N,Y,N,0.645,7,NA
8494,11,F,C,Hispanic,N,N,N,Y,N,1.75,7,NA
2208,10,M,C,Hispanic,N,N,N,Y,N,2.25,7,NA
6253,12,F,C,Hispanic,N,N,N,Y,N,3.522,7,NA
2369,12,M,C,Hispanic,N,Y,N,Y,N,2.045,7,NA
7002,12,F,C,Hispanic,N,Y,N,Y,N,3.087,7,NA
3818,12,F,C,Hispanic,N,N,N,Y,N,3.348,7,NA
8692,12,F,C,Hispanic,N,N,N,Y,N,2.239,7,NA
7184,12,M,C,Hispanic,N,N,N,Y,N,2.651,7,NA
6502,12,M,C,Hispanic,N,N,N,Y,N,2.957,7,NA
2460,12,M,C,Hispanic,N,N,N,Y,N,1.28,7,NA
237,11,F,C,Hispanic,Y,N,N,Y,N,2.9,7,NA
6976,12,M,C,Hispanic,N,N,N,Y,N,1.933,7,NA
5623,10,M,C,Hispanic,Y,Y,N,Y,N,1.938,7,y
9537,12,M,C,Hispanic,N,N,N,Y,N,1.543,7,NA
1349,11,M,C,Hispanic,N,Y,N,Y,N,1.7,7,NA
6328,11,F,C,Hispanic,N,N,N,Y,N,3.357,7,y
8712,12,F,C,Hispanic,N,N,N,Y,N,2,7,NA
4430,11,M,C,Hispanic,Y,N,N,Y,N,2.156,7,NA
2264,10,F,C,Hispanic,N,N,N,Y,N,2.625,7,y
7265,12,M,C,Hispanic,N,N,N,Y,N,2.935,7,NA
5283,12,M,C,Hispanic,N,N,N,Y,N,2.783,7,NA
8657,10,M,C,Hispanic,N,Y,N,Y,N,2.125,7,NA
2493,11,F,C,Hispanic,N,N,N,Y,N,1.844,7,NA
8787,12,F,C,Hispanic,Y,N,N,Y,N,1.682,7,NA
2117,12,M,C,Hispanic,N,Y,N,Y,N,2.4,7,NA
1110,12,M,C,Hispanic,N,N,N,Y,N,1.622,7,y
8729,12,F,C,Hispanic,Y,N,N,Y,N,2.304,7,NA
7378,12,F,C,Hispanic,N,N,N,Y,N,1.75,7,NA
2919,12,M,C,Hispanic,N,N,N,Y,N,1.455,7,NA
2489,11,M,C,Hispanic,Y,Y,N,Y,N,0.933,7,NA
7126,12,M,C,Hispanic,N,N,N,Y,N,3.045,7,NA
1204,12,M,C,Hispanic,N,N,N,Y,N,1.708,7,NA
2783,9,M,C,Hispanic,N,Y,N,Y,N,2,7,NA
1557,10,M,C,Hispanic,Y,Y,N,Y,N,2.063,7,NA
8604,12,F,C,Hispanic,Y,N,N,Y,N,1.536,7,NA
553,12,M,C,Hispanic,Y,N,N,Y,N,3.158,7,NA
7059,12,F,C,Hispanic,N,N,N,Y,N,3.477,7,NA
6943,11,M,C,Hispanic,N,N,N,Y,N,1.233,7,NA
3551,10,M,C,Hispanic,Y,Y,N,Y,N,1.625,7,NA
7605,10,M,C,Hispanic,Y,N,N,Y,N,2.125,7,NA
9456,11,M,C,Hispanic,Y,N,N,Y,N,0.967,7,NA
2621,9,F,C,Hispanic,Y,N,N,Y,N,2,7,NA
777,10,M,C,Hispanic,Y,N,N,Y,N,1.375,7,NA
4592,12,M,C,Hispanic,N,N,N,Y,N,2.5,7,NA
5583,12,F,C,Hispanic,N,N,N,Y,N,1.455,7,NA
4293,11,F,C,Hispanic,N,N,N,Y,N,1.533,7,y
955,10,M,C,Hispanic,Y,Y,N,Y,N,2,7,NA
8049,12,F,C,Hispanic,N,N,N,Y,N,3.909,7,NA
1083,10,M,C,Hispanic,Y,N,N,Y,N,2.5,7,NA
632,12,F,C,Hispanic,N,Y,N,Y,N,1.636,7,NA
6037,10,M,C,Hispanic,Y,Y,N,Y,N,2,7,NA
4994,9,M,C,Hispanic,N,N,N,Y,N,3,7,NA
925,9,F,C,Hispanic,Y,Y,N,Y,N,1,7,NA
6338,11,F,C,Hispanic,N,N,Y,Y,N,1.633,7,y
4689,9,M,C,Hispanic,N,Y,N,Y,N,NA,7,NA
1333,12,F,C,Hispanic,Y,Y,N,Y,N,3.545,7,NA
6696,9,M,C,Hispanic,Y,N,N,Y,N,1,7,NA
4669,9,M,C,Hispanic,N,N,N,Y,N,2,7,NA
2637,11,M,C,Hispanic,Y,Y,N,Y,N,2.967,7,NA
6861,12,F,C,Hispanic,N,N,N,Y,N,1.578,7,NA
2087,9,M,C,Hispanic,Y,Y,N,Y,N,2,7,NA
5015,9,F,C,Hispanic,Y,Y,N,Y,N,1,7,NA
